Category                                 | RTE type             | Interface                                
------------------------------------     | -----------------    | ------------------------------------   
RTE Data Exchange                        | Rte_IStatus          | RACFCyclic_PpFRUSout_DePduGrp_APS2_03    
RTE Data Exchange                        | Rte_Read             | CtApACF_PpDiagCoding_DePermitCodingPersistence 
RTE Data Exchange                        | Rte_IStatus          | RACFCyclic_PpFRParkControlout_DePduGrp_ZFAS_01 
RTE Data Exchange                        | Rte_IRead            | RACFCyclic_PpFRParkControlout_DeTraceData 
RTE Data Exchange                        | Rte_IStatus          | RACFCyclic_PpFRParkControlout_DeTraceData 
RTE Data Exchange                        | Rte_IsUpdated        | CtApACF_PpDiagACFRead_DeEmergency_assist_start_hazard_warning_light_0x5559 
RTE Data Exchange                        | Rte_IStatus          | RACFCyclic_PpFRParkControlout_DeFRParkControlout 
RTE Data Exchange                        | Rte_IStatus          | RACFCyclic_PpFRParkControlout_DePduGrp_PLA2_01 
RTE Data Exchange                        | Rte_IRead            | RACFCyclic_PpSwapACF_DeSWAPActivationACF 
RTE Data Exchange                        | Rte_IRead            | RACFCyclic_PpFRParkControlout_DePduGrp_IPA_01 
RTE Data Exchange                        | Rte_IRead            | RACFCyclic_PpFRUSout_DePduGrp_APS2_02    
LCS                                      | Rte_IRead            | RACFCyclic_PpPFProvidedData_DeLCSSRHState 
IF-Set Version                           | Rte_IRead            | RACFCyclic_PpPFProvidedData_DeIFSETVersion 
Time Service, Remaining Time Budget      | Rte_Call             | CtApACF_PpPFServer_TS_GetRemainingTimeBudget 
RTE Data Exchange                        | Rte_IRead            | RACFCyclic_PpFRParkControlout_DePduGrp_IPA_02 
LCS                                      | Rte_IRead            | RACFCyclic_PpPFProvidedData_DeLCSAPHState 
LCS                                      | Rte_IStatus          | RACFCyclic_PpPFProvidedData_DeLCSMVHState 
Diagnostic, Global                       | Rte_IsUpdated        | CtApACF_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500 
RTE Data Exchange                        | Rte_IStatus          | RACFCyclic_PpRGLVZE_DeTraceData          
RTE Data Exchange                        | Rte_IStatus          | RACFCyclic_PpFRUSout_DePduGrp_APS2_01    
Time Service, AGT                        | Rte_Call             | CtApACF_PpPFServer_TS_GetAgtTimestamp    
LCS                                      | Rte_IStatus          | RACFCyclic_PpPFProvidedData_DeLCSSystemState 
RTE Data Exchange                        | Rte_IRead            | RACFCyclic_PpFRParkControlout_DeFRParkControlout 
Time Service, Convert ZGT                | Rte_Call             | CtApACF_PpPFServer_TS_ConvertZgt2Agt     
Diagnostic, DTC clear                    | Rte_Receive          | CtApACF_PpDiagGlobalRead_DeFSPCleared    
IF-Set Version                           | Rte_IStatus          | RACFCyclic_PpPFProvidedData_DeIFSETVersion 
Diagnostic, Global                       | Rte_Read             | CtApACF_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA 
RTE Data Exchange                        | Rte_IStatus          | RACFCyclic_PpParkMAStatus_DeLaufzeitModusPACSTP 
