Category                                 | RTE type             | Interface                                
------------------------------------     | -----------------    | ------------------------------------   
UDS Diagnostic, Anpassung                | Rte_Read             | CtApACF_PpDiagACFRead_DeEmergency_assist_activation_override_0x0566 
BAP                                      | Rte_Call             | CtApACF_BapPropInit_LDW_HCA_LaneDepartureWarning_BAP_InitSendBufferByteSequence 
BAP                                      | Rte_Result           | CtApACF_BapRequestPropFSG_LDW_HCA_Systemmode_Status_BAP_RequestByteSequence 
BAP                                      | Rte_Call             | CtApACF_BapRequestError_LDW_HCA_SportDriveRecognition_BAP_RequestError 
Network, PDU group interface             | Rte_IWrite           | RACFCyclic_PpFRACFout_DePduGrp_USS_01    
RTE Data Exchange                        | Rte_IStatus          | RACFCyclic_PpPerceptionAvailabilityACFObs_DePerceptionAvailabilityACFObs 
UDS Diagnostic, Anpassung                | Rte_Read             | CtApACF_PpDiagACFRead_DeLane_departure_warning_on_state_0x0BCE 
RTE Data Exchange                        | Rte_IRead            | RACFCyclic_PpFASProfileMasterACF_DeFASProfileMasterACF 
RTE Data Exchange                        | Rte_IRead            | RACFCyclic_PpOBFLightOutObjectsACF_DeObjectListOBFLightOutACF 
RTE Data Exchange                        | Rte_IRead            | RACFCyclic_PpFRACFin_DeFRACFin           
RTE Data Exchange                        | Rte_IsUpdated        | CtApACF_PpDiagACFRead_DeEmergency_assist_status_after_switching_on_terminal_15_0x0BCA 
Network, PDU group interface             | Rte_IWrite           | RACFCyclic_PpFRACFout_DePduGrp_LDW_02    
RTE Data Exchange                        | Rte_IStatus          | RACFCyclic_PpRGLVZE_DeVZE                
Network, PDU group interface             | Rte_IWrite           | RACFCyclic_PpFRACFout_DePduGrp_HCA_02    
BAP                                      | Rte_Result           | CtApACF_BapRequestError_LDW_HCA_WarningIntensity_BAP_RequestError 
RTE Data Exchange                        | Rte_IRead            | RACFCyclic_PpPFHwMeasurements_DeVBAT_MAIN 
UDS Diagnostic, Anpassung                | Rte_Read             | CtApACF_PpDiagACFRead_DeActive_lane_departure_warning_point_of_intervention_0x0BE8 
BAP                                      | Rte_Call             | CtApACF_BapPropInit_MKE_FunctionList_BAP_InitSendBufferByteSequence 
RTE Data Exchange                        | Rte_IStatus          | RACFCyclic_PpACFOBS2ACF_DeACFObsACF      
BAP                                      | Rte_Result           | CtApACF_BapGet_LDW_HCA_State             
Network, PDU group interface             | Rte_IWrite           | RACFCyclic_PpFRACFout_DePduGrp_STP_02    
RTE Data Exchange                        | Rte_IsUpdated        | CtApACF_PpDiagACFRead_DeLane_departure_warning_system_mode_0x0BDC 
EDR                                      | Rte_Send             | CtApACF_PpACFEDRPiDriving_DeACFEDRPiDriving 
UDS Diagnostic, Routine Return           | Rte_Send             | CtApACF_PpDiagACFWrite_DeACA_ResetAcaQBetriebszeitzaehler_0x1011 
BAP                                      | Rte_Call             | CtApACF_BapPropInit_LDW_HCA_EmergencyAssist_BAP_InitSendBufferByteSequence 
