Category                                 | RTE type             | Interface                                
------------------------------------     | -----------------    | ------------------------------------   
Network, PDU group interface             | Rte_IWriteRef        | REMLmain_PpFREMLoutput_DePduGrp_EML_03   
Persistency, Data read                   | Rte_IsUpdated        | CtApEML_PpPdEMLRead_DeEML_V_ReadWrite_Normal 
Persistency, Data read                   | Rte_IsUpdated        | CtApEML_PpPdEMLRead_DeEML_G_ReadWrite_Normal 
Persistency, DataSet                     | Rte_IRead            | REMLmain_PpDsEMLDataSet_DeEML_Reserved   
RTE Data Exchange                        | Rte_IRead            | REMLmain_PpFREMLinput_DeFREMLinput_ESP21 
RTE Data Exchange                        | Rte_IStatus          | REMLmain_PpFREMLinput_DeFREMLinput_SARA07 
Persistency, DataSet                     | Rte_IStatus          | REMLmain_PpDsEMLDataSet_DeEML_Global     
Persistency, DataSet                     | Rte_IStatus          | REMLmain_PpDsEMLDataSet_DeEML_I          
UDS Diagnostic, Anpassung                | Rte_Read             | CtApEML_PpDiagEMLRead_DeEgoMaster_WCFE_WheelCircumference_0x0567 
RTE Data Exchange                        | Rte_IStatus          | REMLmain_PpFREMLinput_DeFREMLinput_Getriebe13 
RTE Data Exchange                        | Rte_IRead            | REMLmain_PpFREMLinput_DeFREMLinput_SCU01 
RTE Data Exchange                        | Rte_IRead            | REMLmain_PpFREMLinput_DeFREMLinput_SARA10 
Persistency, Data write                  | Rte_Write            | CtApEML_PpPdEMLWrite_DeEML_V_ReadWrite_Normal 
RTE Data Exchange                        | Rte_Send             | CtApEML_PpEML_DeEML                      
RTE Data Exchange                        | Rte_IsUpdated        | CtApEML_PpDiagEMLRead_DeEgoMaster_WCFE_WheelCircumference_0x0567 
Persistency, Data read                   | Rte_Read             | CtApEML_PpPdEMLRead_DeEML_I_ReadWrite_Normal 
RTE Data Exchange                        | Rte_IRead            | REMLmain_PpFREMLinput_DeFREMLinput_NavData03 
RTE Data Exchange                        | Rte_IStatus          | REMLmain_PpFREMLinput_DeFREMLinput_EM1HYB16 
