# CtApEML
# E:\zFAS-Jenkins\workspace\zFAS_AIT_Master_AAT\_ait\SW\0900_System\02_interfaces\CtApEML\ContractHeader\Rte_CtApEML.h
# Generated at: Tue Sep 10 2019 17:16
Rte_Receive_CtApEML_PpDiagEMLRead_DeEgoMaster_reset_adaption_values_0x05E7|Dt_RECORD_Routine_EgoMaster_reset_adaption_values_0x05E7_Call
Rte_Receive_CtApEML_PpDiagGlobalRead_DeFSPCleared|Dt_BOOL
Rte_Receive_CtApEML_PpTVIPEML_DeTVIPEML|Dt_RECORD_TVIPEML
Rte_Read_CtApEML_PpDiagCoding_DeCoding|Dt_RECORD_Diag_Coding
Rte_IsUpdated_CtApEML_PpDiagCoding_DeCoding|void
Rte_Read_CtApEML_PpDiagCoding_DePermitCodingPersistence|Dt_ENUM_PermitCodingPersistence
Rte_IsUpdated_CtApEML_PpDiagCoding_DePermitCodingPersistence|void
Rte_Read_CtApEML_PpDiagEMLRead_DeEgoMaster_WCFE_WheelCircumference_0x0567|Dt_RECORD_Anpassung_EgoMaster_WCFE_WheelCircumference_0x0567
Rte_IsUpdated_CtApEML_PpDiagEMLRead_DeEgoMaster_WCFE_WheelCircumference_0x0567|void
Rte_Read_CtApEML_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA|Dt_RECORD_Anpassung_Deactivate_hardware_in_the_loop_mode_0x0BEA
Rte_IsUpdated_CtApEML_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA|void
Rte_Read_CtApEML_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500|Dt_RECORD_Anpassung_Platform_zFAS_hil_mode_0x0500
Rte_IsUpdated_CtApEML_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500|void
Rte_Read_CtApEML_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB|Dt_RECORD_Anpassung_Roller_Test_Stand_Mode_0x04FB
Rte_IsUpdated_CtApEML_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB|void
Rte_IRead_REMLmain_PpDsEMLDataSet_DeEML_B|void
Rte_IStatus_REMLmain_PpDsEMLDataSet_DeEML_B|void
Rte_IRead_REMLmain_PpDsEMLDataSet_DeEML_G|void
Rte_IStatus_REMLmain_PpDsEMLDataSet_DeEML_G|void
Rte_IRead_REMLmain_PpDsEMLDataSet_DeEML_Global|void
Rte_IStatus_REMLmain_PpDsEMLDataSet_DeEML_Global|void
Rte_IRead_REMLmain_PpDsEMLDataSet_DeEML_I|void
Rte_IStatus_REMLmain_PpDsEMLDataSet_DeEML_I|void
Rte_IRead_REMLmain_PpDsEMLDataSet_DeEML_P|void
Rte_IStatus_REMLmain_PpDsEMLDataSet_DeEML_P|void
Rte_IRead_REMLmain_PpDsEMLDataSet_DeEML_Reserved|void
Rte_IStatus_REMLmain_PpDsEMLDataSet_DeEML_Reserved|void
Rte_IRead_REMLmain_PpDsEMLDataSet_DeEML_S|void
Rte_IStatus_REMLmain_PpDsEMLDataSet_DeEML_S|void
Rte_IRead_REMLmain_PpDsEMLDataSet_DeEML_V|void
Rte_IStatus_REMLmain_PpDsEMLDataSet_DeEML_V|void
Rte_IRead_REMLmain_PpEgmoSumoMV_DeEgmoSumoMV|void
Rte_IStatus_REMLmain_PpEgmoSumoMV_DeEgmoSumoMV|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_ACC17|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_ACC17|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_BCM02|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_BCM02|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_CSPH01|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_CSPH01|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_Diagnose01|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_Diagnose01|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_EM1HYB12|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_EM1HYB12|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_EM1HYB16|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_EM1HYB16|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_EM2HYB12|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_EM2HYB12|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_ESP03|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_ESP03|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_ESP10|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_ESP10|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_ESP20|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_ESP20|void
