# CtApFASProfileMaster
# E:\zFAS-Jenkins\workspace\zFAS_AIT_Master_AAT\_ait\SW\0900_System\02_interfaces\CtApFASProfileMaster\ContractHeader\Rte_CtApFASProfileMaster.h
# Generated at: Tue Sep 10 2019 17:16
Rte_Receive_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeProfile_master_reset_personalized_settings_0x067B|Dt_RECORD_Routine_Profile_master_reset_personalized_settings_0x067B_Call
Rte_Receive_CtApFASProfileMaster_PpDiagGlobalRead_DeFSPCleared|Dt_BOOL
Rte_Receive_CtApFASProfileMaster_PpEthCom2PMTransferStatus_DeEthCom2PMTransferStatus|Dt_RECORD_EthCom2PMTransferStatus
Rte_Read_CtApFASProfileMaster_Bap_Allowed_DeBapAllowed|Dt_BOOL
Rte_IsUpdated_CtApFASProfileMaster_Bap_Allowed_DeBapAllowed|void
Rte_IRead_RFASProfileMasterCyclic_PpACFStatusProfileMaster_DeACFStatusProfileMaster|void
Rte_IStatus_RFASProfileMasterCyclic_PpACFStatusProfileMaster_DeACFStatusProfileMaster|void
Rte_Read_CtApFASProfileMaster_PpDiagCoding_DeCoding|Dt_RECORD_Diag_Coding
Rte_IsUpdated_CtApFASProfileMaster_PpDiagCoding_DeCoding|void
Rte_Read_CtApFASProfileMaster_PpDiagCoding_DePermitCodingPersistence|Dt_ENUM_PermitCodingPersistence
Rte_IsUpdated_CtApFASProfileMaster_PpDiagCoding_DePermitCodingPersistence|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Active_Lane_Daparture_Warning_activation_clearing_0x0537|Dt_RECORD_Anpassung_FAS_PM_Active_Lane_Daparture_Warning_activation_clearing_0x0537
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Active_Lane_Daparture_Warning_activation_clearing_0x0537|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Crossing_Assist_activation_clearing_0x0536|Dt_RECORD_Anpassung_FAS_PM_Crossing_Assist_activation_clearing_0x0536
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Crossing_Assist_activation_clearing_0x0536|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Dead_time_after_activation_FAS_Profile_push_button_0x0541|Dt_RECORD_Anpassung_FAS_PM_Dead_time_after_activation_FAS_Profile_push_button_0x0541
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Dead_time_after_activation_FAS_Profile_push_button_0x0541|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Distance_Warner_High_activation_clearing_0x0539|Dt_RECORD_Anpassung_FAS_PM_Distance_Warner_High_activation_clearing_0x0539
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Distance_Warner_High_activation_clearing_0x0539|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Distance_Warner_Low_activation_clearing_0x0540|Dt_RECORD_Anpassung_FAS_PM_Distance_Warner_Low_activation_clearing_0x0540
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Distance_Warner_Low_activation_clearing_0x0540|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Emergency_Assist_activation_clearing_0x0535|Dt_RECORD_Anpassung_FAS_PM_Emergency_Assist_activation_clearing_0x0535
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Emergency_Assist_activation_clearing_0x0535|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Exit_Warner_activation_clearing_0x053C|Dt_RECORD_Anpassung_FAS_PM_Exit_Warner_activation_clearing_0x053C
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Exit_Warner_activation_clearing_0x053C|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Local_Emergency_Warning_activation_clearing_0x053E|Dt_RECORD_Anpassung_FAS_PM_Local_Emergency_Warning_activation_clearing_0x053E
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Local_Emergency_Warning_activation_clearing_0x053E|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Logic_FAS_push_button_popup_or_toggle_0x054E|Dt_RECORD_Anpassung_FAS_PM_Logic_FAS_push_button_popup_or_toggle_0x054E
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Logic_FAS_push_button_popup_or_toggle_0x054E|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Nightvision_activation_clearing_0x053D|Dt_RECORD_Anpassung_FAS_PM_Nightvision_activation_clearing_0x053D
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Nightvision_activation_clearing_0x053D|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Number_of_minimum_profile_members_0x0532|Dt_RECORD_Anpassung_FAS_PM_Number_of_minimum_profile_members_0x0532
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Number_of_minimum_profile_members_0x0532|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Number_of_profile_members_0x0531|Dt_RECORD_Anpassung_FAS_PM_Number_of_profile_members_0x0531
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Number_of_profile_members_0x0531|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Number_of_profiles_0x0530|Dt_RECORD_Anpassung_FAS_PM_Number_of_profiles_0x0530
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Number_of_profiles_0x0530|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Number_of_retries_0x0533|Dt_RECORD_Anpassung_FAS_PM_Number_of_retries_0x0533
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Number_of_retries_0x0533|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_PreSense_activation_clearing_0x053F|Dt_RECORD_Anpassung_FAS_PM_PreSense_activation_clearing_0x053F
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_PreSense_activation_clearing_0x053F|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Side_Assist_activation_clearing_0x053B|Dt_RECORD_Anpassung_FAS_PM_Side_Assist_activation_clearing_0x053B
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Side_Assist_activation_clearing_0x053B|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_Active_Lane_Daparture_Warning_after_Kl_15_on_0x0544|Dt_RECORD_Anpassung_FAS_PM_Status_Active_Lane_Daparture_Warning_after_Kl_15_on_0x0544
