# CtApGwSmartPhone
# E:\zFAS-Jenkins\workspace\zFAS_AIT_Master_AAT\_ait\SW\0900_System\02_interfaces\CtApGwSmartPhone\ContractHeader\Rte_CtApGwSmartPhone.h
# Generated at: Tue Sep 10 2019 17:16
Rte_Receive_CtApGwSmartPhone_PpDiagGlobalRead_DeFSPCleared|Dt_BOOL
Rte_Read_CtApGwSmartPhone_PpDiagCoding_DeCoding|Dt_RECORD_Diag_Coding
Rte_IsUpdated_CtApGwSmartPhone_PpDiagCoding_DeCoding|void
Rte_Read_CtApGwSmartPhone_PpDiagCoding_DePermitCodingPersistence|Dt_ENUM_PermitCodingPersistence
Rte_IsUpdated_CtApGwSmartPhone_PpDiagCoding_DePermitCodingPersistence|void
Rte_Read_CtApGwSmartPhone_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA|Dt_RECORD_Anpassung_Deactivate_hardware_in_the_loop_mode_0x0BEA
Rte_IsUpdated_CtApGwSmartPhone_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA|void
Rte_Read_CtApGwSmartPhone_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500|Dt_RECORD_Anpassung_Platform_zFAS_hil_mode_0x0500
Rte_IsUpdated_CtApGwSmartPhone_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500|void
Rte_Read_CtApGwSmartPhone_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB|Dt_RECORD_Anpassung_Roller_Test_Stand_Mode_0x04FB
Rte_IsUpdated_CtApGwSmartPhone_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB|void
Rte_Read_CtApGwSmartPhone_PpDiagGwSmartPhoneRead_DeIPA_new_functions_0x056A|Dt_RECORD_Anpassung_IPA_new_functions_0x056A
Rte_IsUpdated_CtApGwSmartPhone_PpDiagGwSmartPhoneRead_DeIPA_new_functions_0x056A|void
Rte_IRead_RGWSmartPhone10ms_PpDsGwSmartPhoneDataSet_DeTimeout|void
Rte_IStatus_RGWSmartPhone10ms_PpDsGwSmartPhoneDataSet_DeTimeout|void
Rte_IRead_RGWSmartPhone10ms_PpDsGwSmartPhoneDataSet_DeTouchscreenPark|void
Rte_IStatus_RGWSmartPhone10ms_PpDsGwSmartPhoneDataSet_DeTouchscreenPark|void
Rte_IRead_RGWSmartPhone10ms_PpDsGwSmartPhoneDataSet_DeTouchscreenShunt|void
Rte_IStatus_RGWSmartPhone10ms_PpDsGwSmartPhoneDataSet_DeTouchscreenShunt|void
Rte_IRead_RGWSmartPhone10ms_PpFRGwSmartPhoneIn_DeFRGwSmartPhoneIn|void
