Category                                 | RTE type             | Interface                                
------------------------------------     | -----------------    | ------------------------------------   
Time Service, Remaining Time Budget      | Rte_Call             | CtApInnoDriveControl_PpPFServer_TS_GetRemainingTimeBudget 
RTE Data Exchange                        | Rte_IStatus          | RInnoDriveControl_PpFRRGout_DeTraceData  
LCS                                      | Rte_IStatus          | RInnoDriveControl_PpPFProvidedData_DeLCSSRHState 
RTE Data Exchange                        | Rte_Call             | CtApInnoDriveControl_PpRGApiLight_RGApi_GetCurrentTimestamp 
Diagnostic, Global                       | Rte_Read             | CtApInnoDriveControl_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB 
RTE Data Exchange                        | Rte_Call             | CtApInnoDriveControl_PpRGApiLight_RGApi_GetAttribute 
RTE Data Exchange                        | Rte_IRead            | RInnoDriveControl_PpRGLVZE_DeTraceData   
RTE Data Exchange                        | Rte_IStatus          | RInnoDriveControl_PpRGLVZE_DeTraceData   
RTE Data Exchange                        | Rte_IRead            | RInnoDriveControl_PpRGLVZE_DePduGrp_VZE_05 
RTE Data Exchange                        | Rte_Call             | CtApInnoDriveControl_PpRGApiLight_RGApi_GetNextAttribute 
LCS                                      | Rte_IRead            | RInnoDriveControl_PpPFProvidedData_DeLCSSystemState 
RTE Data Exchange                        | Rte_Call             | CtApInnoDriveControl_PpRGApiLight_RGApi_GetSpeedLimit 
IF-Set Version                           | Rte_IRead            | RInnoDriveControl_PpPFProvidedData_DeIFSETVersion 
Diagnostic, Global                       | Rte_IsUpdated        | CtApInnoDriveControl_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB 
LCS                                      | Rte_IRead            | RInnoDriveControl_PpPFProvidedData_DeLCSSRHState 
LCS                                      | Rte_IRead            | RInnoDriveControl_PpPFProvidedData_DeLCSMVHState 
RTE Data Exchange                        | Rte_IStatus          | RInnoDriveControl_PpRGLVZE_DePduGrp_VZE_01 
RTE Data Exchange                        | Rte_IRead            | RInnoDriveControl_PpPFHwMeasurements_DeTHS 
RTE Data Exchange                        | Rte_Call             | CtApInnoDriveControl_PpRGApiLight_RGApi_GetLoadSegments 
Diagnostic, Get DTC Event                | Rte_Call             | CtApInnoDriveControl_PpEventHandling_GetEventStatus 
RTE Data Exchange                        | Rte_IRead            | RInnoDriveControl_PpRGLVZE_DeBVTS        
LCS                                      | Rte_IStatus          | RInnoDriveControl_PpPFProvidedData_DeLCSMVHState 
RTE Data Exchange                        | Rte_IRead            | RInnoDriveControl_PpPFProvidedData_DeTotalSysRestartCnt 
RTE Data Exchange                        | Rte_IRead            | RInnoDriveControl_PpRGLVZE_DePduGrp_VZE_03 
RTE Data Exchange                        | Rte_Call             | CtApInnoDriveControl_PpRGApiLight_RGApi_GetNextSpeedLimit 
