Category                                 | RTE type             | Interface                                
------------------------------------     | -----------------    | ------------------------------------   
RTE Data Exchange                        | Rte_IWrite           | RQVAmain_PpFRKASQVAout_DeKAS             
UDS Diagnostic, Anpassung                | Rte_Read             | CtApKASQVA_PpDiagKASQVARead_DeProductionmode_0x04FE 
BAP                                      | Rte_Result           | CtApKASQVA_BapPropInit_FTA_HeartBeat_BAP_InitSendBufferUInt8 
Network, PDU group interface             | Rte_IWrite           | RQVAmain_PpFRKASQVAout_DePduGrp_PCS_Li   
BAP                                      | Rte_Call             | CtApKASQVA_BapRequestPropFSG_FTA_FSG_OperationState_Status_BAP_RequestUInt8 
Persistency, Data read                   | Rte_Read             | CtApKASQVA_PpPdKASQVARead_DeCtApKasqvaKasPersonal_Normal 
BAP                                      | Rte_Result           | CtApKASQVA_BapRequestError_FTA_FTA_BAP_RequestError 
BAP                                      | Rte_Call             | CtApKASQVA_BapRequestPropFSG_FTA_FTA_Status_BAP_RequestByteSequence 
BAP                                      | Rte_Result           | CtApKASQVA_BapRequestPropFSG_FTA_FTA_SensorData_Status_BAP_RequestByteSequence 
Network, PDU group interface             | Rte_IWrite           | RQVAmain_PpFRKASQVAout_DePduGrp_KAS_01   
BAP                                      | Rte_Call             | CtApKASQVA_BapPropInit_FTA_FSG_Control_BAP_InitSendBufferByteSequence 
BAP                                      | Rte_Result           | CtApKASQVA_BapPropInit_FTA_FTA_BAP_InitSendBufferByteSequence 
BAP                                      | Rte_Call             | CtApKASQVA_BapPropInit_FTA_FSG_Setup_BAP_InitSendBufferByteSequence 
Diagnostic, Global                       | Rte_IsUpdated        | CtApKASQVA_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB 
BAP                                      | Rte_Result           | CtApKASQVA_BapRequestPropFSG_FTA_FTA_Status_BAP_RequestByteSequence 
RTE Data Exchange                        | Rte_IStatus          | RQVAmain_PpPerceptionAvailabilityKASQVA_DePerceptionAvailabilityKASQVA 
BAP                                      | Rte_Result           | CtApKASQVA_BapPropInit_FTA_FSG_Control_BAP_InitSendBufferByteSequence 
RTE Data Exchange                        | Rte_IStatus          | RQVAmain_PpFASProfileMasterKAS_DeFASProfileMasterKAS 
