Category                                 | RTE type             | Interface                                
------------------------------------     | -----------------    | ------------------------------------   
Diagnostic, Global                       | Rte_IsUpdated        | CtApLight_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500 
UDS Diagnostic, Anpassung                | Rte_Read             | CtApLight_PpDiagLightRead_DeMatrix_headlamp_effective_switch_on_0x0B7B 
SWC Version Info                         | Rte_Call             | CtApLight_PpPFServer_MW_SetSwcInfo       
UDS Diagnostic, Anpassung                | Rte_Read             | CtApLight_PpDiagLightRead_DeHeadlamp_adjustment_right_0x0A48 
RTE Data Exchange                        | Rte_IsUpdated        | CtApLight_PpDiagLightRead_DeHeadlamp_left_low_beam_segment_control_0x0B7E 
RTE Data Exchange                        | Rte_IRead            | RAFS_Main_PpAFSLightIn_DeAFSLightIn      
RTE Data Exchange                        | Rte_IRead            | RAFS_Main_PpZDML_DeZDMLAHS               
RTE Data Exchange                        | Rte_Receive          | CtApLight_PpDM_DeDM                      
HW Variant Interface                     | Rte_IStatus          | RAFS_Main_PpPFProvidedData_DeVARHWVariant 
RTE Data Exchange                        | Rte_IStatus          | RAFS_Main_PpFRLightIn_DeFRLightIn        
Persistency, DataSet                     | Rte_IRead            | RAFS_Main_PpDsLightDataSet_DeCalibrationParamData 
RTE Data Exchange                        | Rte_IsUpdated        | CtApLight_PpDiagLightRead_DeMatrix_headlamp_effective_switch_on_0x0B7B 
Network, FlexRay Run                     | Rte_IWriteRef        | RAFS_Main_PpEcuComRequestsLight_DeRequestsFlexRayRun 
RTE Data Exchange                        | Rte_IsUpdated        | CtApLight_PpDiagLightRead_DeMatrix_headlamp_general_dimming_0x2D3F 
UDS Diagnostic, Routine Return           | Rte_Send             | CtApLight_PpDiagLightWrite_DeCalibration_matrix_headlamp_0x0263 
Persistency, Data write                  | Rte_Write            | CtApLight_PpPdLightWrite_DeNVMemmoryData_Critical 
UDS Diagnostic, Stellglied Call          | Rte_Receive          | CtApLight_PpDiagLightRead_DeHeadlamp_left_high_beam_segment_control_test_0x81AD 
Diagnostic, Coding                       | Rte_Read             | CtApLight_PpDiagCoding_DeCoding          
UDS Diagnostic, Anpassung                | Rte_Read             | CtApLight_PpDiagLightRead_DeHeadlamp_right_high_beam_segment_control_0x0B7D 
RTE Data Exchange                        | Rte_IRead            | RAFS_Main_PpCalibFailMV_DeCalibrationMV  
UDS Diagnostic, Stellglied Call          | Rte_Receive          | CtApLight_PpDiagLightRead_DeHeadlamp_right_low_beam_segment_control_test_0x81B0 
RTE Data Exchange                        | Rte_IStatus          | RAFS_Main_PpACF2ACFOBS_DeBP              
