Category                                 | RTE type             | Interface                                
------------------------------------     | -----------------    | ------------------------------------   
RTE Data Exchange                        | Rte_IRead            | ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphSWEData 
IF-Set Version                           | Rte_IStatus          | ROBFLightMain_PpPFProvidedData_DeIFSETVersion 
Diagnostic, Global                       | Rte_Read             | CtApObjectFusionLight_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA 
RTE Data Exchange                        | Rte_IWriteRef        | ROBFLightMain_PpObjectFusionLightTraceData_DeTraceData 
RTE Data Exchange                        | Rte_IStatus          | ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphEHRDBData 
Diagnostic, DTC clear                    | Rte_Receive          | CtApObjectFusionLight_PpDiagGlobalRead_DeFSPCleared 
RTE Data Exchange                        | Rte_IStatus          | ROBFLightMain_PpDsObjectFusionDataSet_DeOFParameters 
RTE Data Exchange                        | Rte_IRead            | ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphSNAVData 
RTE Data Exchange                        | Rte_IRead            | ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphSPOSData 
RTE Data Exchange                        | Rte_IRead            | ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphEHRDBData 
RTE Data Exchange                        | Rte_IsUpdated        | CtApObjectFusionLight_PpCalibFailMV_DeCalibrationMV 
RTE Data Exchange                        | Rte_IRead            | ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphRGLDIAGData 
RTE Data Exchange                        | Rte_IRead            | ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphSOBJData 
Diagnostic, Global                       | Rte_Read             | CtApObjectFusionLight_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500 
LCS                                      | Rte_IStatus          | ROBFLightMain_PpPFProvidedData_DeLCSSRHState 
RTE Data Exchange                        | Rte_IStatus          | ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphROBJData 
Time Service, AGT                        | Rte_Call             | CtApObjectFusionLight_PpPFServer_TS_GetAgtTimestamp 
LCS                                      | Rte_IRead            | ROBFLightMain_PpPFProvidedData_DeLCSMVHState 
Diagnostic, Coding                       | Rte_IsUpdated        | CtApObjectFusionLight_PpDiagCoding_DeCoding 
Diagnostic, Global                       | Rte_IsUpdated        | CtApObjectFusionLight_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500 
RTE Data Exchange                        | Rte_IRead            | ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphRGLAData 
RTE Data Exchange                        | Rte_IRead            | ROBFLightMain_PpObjOBFMV_DeOBFObjMVPED   
RTE Data Exchange                        | Rte_IStatus          | ROBFLightMain_PpPFHwMeasurements_DeTHS   
IF-Set Version                           | Rte_IRead            | ROBFLightMain_PpPFProvidedData_DeIFSETVersion 
Diagnostic, Set DTC Event                | Rte_Call             | CtApObjectFusionLight_PpEventHandling_SetEventStatus 
Diagnostic, Global                       | Rte_Read             | CtApObjectFusionLight_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB 
RTE Data Exchange                        | Rte_IRead            | ROBFLightMain_PpDsObjectFusionDataSet_DeOFParameters 
RTE Data Exchange                        | Rte_IRead            | ROBFLightMain_PpPFProvidedData_DeTotalSysRestartCnt 
