# CtApObjectFusionLight
# E:\zFAS-Jenkins\workspace\zFAS_AIT_Master_AAT\_ait\SW\0900_System\02_interfaces\CtApObjectFusionLight\ContractHeader\Rte_CtApObjectFusionLight.h
# Generated at: Tue Sep 10 2019 17:16
Rte_Receive_CtApObjectFusionLight_PpDiagGlobalRead_DeFSPCleared|Dt_BOOL
Rte_Receive_CtApObjectFusionLight_PpEML_DeEML|Dt_RECORD_EML
Rte_Receive_CtApObjectFusionLight_PpEyeQCom2PerceptionAvailability_DeStatusMV|Dt_RECORD_StatusMV
Rte_Receive_CtApObjectFusionLight_PpFRPreProcessing2PerceptionAvailability_DeStatusFRSensors|Dt_RECORD_StatusFRSensors
Rte_Receive_CtApObjectFusionLight_PpTVIP2PerceptionAvailability_DeStatusTVIPSensors|Dt_RECORD_TVIPStatusSensors
Rte_Receive_CtApObjectFusionLight_PpUltraSonicProcessing2PerceptionAvailability_DeStatusUSSensors|Dt_RECORD_USStatusSensors
Rte_Receive_CtApObjectFusionLight_PpWlaOBFMV_DeWlaObjects|Dt_RECORD_MVWLAObjectList
Rte_Read_CtApObjectFusionLight_PpCalibFailMV_DeCalibrationMV|Dt_RECORD_Calibration_MV
Rte_IsUpdated_CtApObjectFusionLight_PpCalibFailMV_DeCalibrationMV|void
Rte_Read_CtApObjectFusionLight_PpCalibFailMV_DeFailsafeMV|Dt_RECORD_Failsafe_MV
Rte_IsUpdated_CtApObjectFusionLight_PpCalibFailMV_DeFailsafeMV|void
Rte_Read_CtApObjectFusionLight_PpCalibFailMV_DeMXBCalibrationStatusMV|Dt_RECORD_MXBCalibrationStatus
Rte_IsUpdated_CtApObjectFusionLight_PpCalibFailMV_DeMXBCalibrationStatusMV|void
Rte_Read_CtApObjectFusionLight_PpDiagCoding_DeCoding|Dt_RECORD_Diag_Coding
Rte_IsUpdated_CtApObjectFusionLight_PpDiagCoding_DeCoding|void
Rte_Read_CtApObjectFusionLight_PpDiagCoding_DePermitCodingPersistence|Dt_ENUM_PermitCodingPersistence
Rte_IsUpdated_CtApObjectFusionLight_PpDiagCoding_DePermitCodingPersistence|void
Rte_Read_CtApObjectFusionLight_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA|Dt_RECORD_Anpassung_Deactivate_hardware_in_the_loop_mode_0x0BEA
