Category                                 | RTE type             | Interface                                
------------------------------------     | -----------------    | ------------------------------------   
BAP                                      | Rte_Call             | CtApPAHS_BapRequestPropFSG_AHC_FSG_Setup_Status_BAP_RequestByteSequence 
BAP                                      | Rte_Result           | CtApPAHS_BapPropInit_AHC_Messages_BAP_InitSendBufferByteSequence 
RTE Data Exchange                        | Rte_IStatus          | RPAHSmain_PpWlaHeadlampOnlineCalMV_DeDetectionCountMV 
Diagnostic, Global                       | Rte_Read             | CtApPAHS_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA 
RTE Data Exchange                        | Rte_IsUpdated        | CtApPAHS_PpDiagCoding_DePermitCodingPersistence 
BAP                                      | Rte_Result           | CtApPAHS_BapPropInit_AHC_FSG_OperationState_BAP_InitSendBufferUInt8 
IF-Set Version                           | Rte_IStatus          | RPAHSmain_PpPFProvidedData_DeIFSETVersion 
HW Variant Interface                     | Rte_IStatus          | RPAHSmain_PpPFProvidedData_DeVARHWVariant 
Diagnostic, Global                       | Rte_Read             | CtApPAHS_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB 
RTE Data Exchange                        | Rte_IStatus          | RPAHSmain_PpLightResults_DePAHSHeadlightActualPos 
BAP                                      | Rte_Result           | CtApPAHS_BapRequestError_AHC_Messages_BAP_RequestError 
BAP                                      | Rte_Result           | CtApPAHS_BapPropInit_AHC_CalibrationControl_BAP_InitSendBufferByteSequence 
BAP                                      | Rte_Call             | CtApPAHS_BapPropInit_AHC_CalibrationControl_BAP_InitSendBufferByteSequence 
BAP                                      | Rte_Result           | CtApPAHS_BapRequestError_AHC_FSG_Setup_BAP_RequestError 
BAP                                      | Rte_Result           | CtApPAHS_BapRequestError_AHC_FSG_OperationState_BAP_RequestError 
RTE Data Exchange                        | Rte_IStatus          | RPAHSmain_PpZDML_DeZDMLAHS               
LCS                                      | Rte_IRead            | RPAHSmain_PpPFProvidedData_DeLCSMVHState 
UDS Diagnostic, Stellglied Call          | Rte_Receive          | CtApPAHS_PpDiagPAHSRead_DeAutomatic_calibration_headlamp_test_mode_0x81E0 
RTE Data Exchange                        | Rte_IStatus          | RPAHSmain_PpWlaHeadlampOnlineCalMV_DeCalibrationStaticMV 
RTE Data Exchange                        | Rte_IStatus          | RPAHSmain_PpFRPahsIn_DeFRPahsIn          
HW Variant Interface                     | Rte_IRead            | RPAHSmain_PpPFProvidedData_DeVARHWVariant 
BAP                                      | Rte_Result           | CtApPAHS_BapRequestError_AHC_FSG_Control_BAP_RequestError 
BAP                                      | Rte_Call             | CtApPAHS_BapPropInit_AHC_Messages_BAP_InitSendBufferByteSequence 
BAP                                      | Rte_Call             | CtApPAHS_BapRequestError_AHC_FSG_Control_BAP_RequestError 
BAP                                      | Rte_Call             | CtApPAHS_BapRequestError_AHC_FSG_OperationState_BAP_RequestError 
Persistency, DataSet                     | Rte_IStatus          | RPAHSmain_PpDsPAHSDataSet_DePahsConfigMxb 
Diagnostic, DTC clear                    | Rte_Receive          | CtApPAHS_PpDiagGlobalRead_DeFSPCleared   
BAP                                      | Rte_Call             | CtApPAHS_BapRequestPropFSG_AHC_FSG_Control_Status_BAP_RequestUInt8 
RTE Data Exchange                        | Rte_Receive          | CtApPAHS_PpEML_DeEML                     
