Category                                 | RTE type             | Interface                                
------------------------------------     | -----------------    | ------------------------------------   
Diagnostic, Get DTC Event                | Rte_Call             | CtApParkMonitor_PpEventHandling_GetEventStatus 
Diagnostic, Global                       | Rte_IsUpdated        | CtApParkMonitor_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500 
RTE Data Exchange                        | Rte_Read             | CtApParkMonitor_PpPdParkControlRead_DeIpaCfg_RW_Normal 
LCS                                      | Rte_IRead            | RParkMonitor20ms_PpPFProvidedData_DeLCSSystemState 
HW Variant Interface                     | Rte_IStatus          | RParkMonitor20ms_PpPFProvidedData_DeVARHWVariant 
RTE Data Exchange                        | Rte_IsUpdated        | CtApParkMonitor_PpPdParkControlRead_DeIpaCfg_RW_Normal 
RTE Data Exchange                        | Rte_Read             | CtApParkMonitor_PpPdParkControlRead_DeDriverPreferences_RW_Critical 
RTE Data Exchange                        | Rte_IsUpdated        | CtApParkMonitor_PpDiagParkMonitorRead_DeProductionmode_0x04FE 
UDS Diagnostic, Anpassung                | Rte_Read             | CtApParkMonitor_PpDiagParkMonitorRead_DeIPA_new_functions_0x056A 
IF-Set Version                           | Rte_IRead            | RParkMonitor20ms_PpPFProvidedData_DeIFSETVersion 
Diagnostic, Global                       | Rte_Read             | CtApParkMonitor_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB 
Time Service, Convert AGT                | Rte_Call             | CtApParkMonitor_PpPFServer_TS_ConvertAgt2Zgt 
RTE Data Exchange                        | Rte_IStatus          | RParkMonitor20ms_PpPFProvidedData_DeTotalSysRestartCnt 
Diagnostic, Global                       | Rte_IsUpdated        | CtApParkMonitor_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB 
RTE Data Exchange                        | Rte_IsUpdated        | CtApParkMonitor_PpPdParkControlRead_DeDriverPreferences_RW_Critical 
Persistency, DataSet                     | Rte_IStatus          | RParkMonitor20ms_PpDsParkMonitorDataSet_DePamCfg 
Diagnostic, DTC clear                    | Rte_Receive          | CtApParkMonitor_PpDiagGlobalRead_DeFSPCleared 
