Category                                 | RTE type             | Interface                                
------------------------------------     | -----------------    | ------------------------------------   
RTE Data Exchange                        | Rte_IStatus          | RParkProcessing40ms_PpMBFParkFences_DeObstacleFences 
Diagnostic, Coding                       | Rte_Read             | CtApParkProcessing_PpDiagCoding_DeCoding 
RTE Data Exchange                        | Rte_IRead            | RParkProcessing40ms_PpDsParkControlDataSet_DeVdimCfg 
UDS Diagnostic, Anpassung                | Rte_Read             | CtApParkProcessing_PpDiagParkProcessingRead_DePark_assist_excess_width_vehicle_attachements_0x0BBF 
RTE Data Exchange                        | Rte_IRead            | RParkProcessing40ms_PpDsParkControlDataSet_DeDapmCfg 
RTE Data Exchange                        | Rte_IRead            | RParkProcessing40ms_PpDsParkControlDataSet_DeIpaCfg_R 
SWC Version Info                         | Rte_Call             | CtApParkProcessing_PpPFServer_MW_SetSwcInfo 
RTE Data Exchange                        | Rte_IRead            | RParkProcessing40ms_PpDsParkControlDataSet_DeVctmCfg 
RTE Data Exchange                        | Rte_IRead            | RParkProcessing40ms_PpDsParkControlDataSet_DeStateConfig 
UDS Diagnostic, Anpassung                | Rte_Read             | CtApParkProcessing_PpDiagParkProcessingRead_DePark_assist_distance_from_kerb_0x0BC0 
RTE Data Exchange                        | Rte_IRead            | RParkProcessing40ms_PpPerceptionAvailabilityPark_DePerceptionAvailabilityPark 
RTE Data Exchange                        | Rte_IsUpdated        | CtApParkProcessing_PpPdParkControlRead_DeDriverPreferences_RW_Critical 
RTE Data Exchange                        | Rte_IStatus          | RParkProcessing40ms_PpDsParkControlDataSet_DeDapmCfg 
Time Service, Timestamp                  | Rte_Call             | CtApParkProcessing_PpPFServer_TS_GetZgtTimestamp 
Diagnostic, Global                       | Rte_Read             | CtApParkProcessing_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500 
RTE Data Exchange                        | Rte_IStatus          | RParkProcessing40ms_PpDsParkControlDataSet_DeMopmCfg 
RTE Data Exchange                        | Rte_IRead            | RParkProcessing40ms_PpFRParkProcessingin_DeFRParkProcessingin 
RTE Data Exchange                        | Rte_IStatus          | RParkProcessing40ms_PpDsParkControlDataSet_DeIpaCfg_R 
