Category                                 | RTE type             | Interface                                
------------------------------------     | -----------------    | ------------------------------------   
RTE Data Exchange                        | Rte_IRead            | RRGLCyclic_PpPSD15_DePSD06m3             
RTE Data Exchange                        | Rte_IStatus          | RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphERDData 
RTE Data Exchange                        | Rte_Receive          | CtApRoadGraphLight_PpWlaRGMV_DeWlaObjects 
RTE Data Exchange                        | Rte_IStatus          | RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphSPFData 
RTE Data Exchange                        | Rte_IWriteRef        | RRGLCyclic_PpFRRGout_DePduGrp_SDF2_Pos_01 
Time Service, Remaining Time Budget      | Rte_Call             | CtApRoadGraphLight_PpPFServer_TS_GetRemainingTimeBudget 
RTE Data Exchange                        | Rte_IWriteRef        | RRGLCyclic_PpRGLanes_DeLanes             
RTE Data Exchange                        | Rte_IStatus          | RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphVZFData 
UDS Diagnostic, Anpassung                | Rte_Read             | CtApRoadGraphLight_PpDiagRoadGraphLightRead_DeRoad_Graph_Light_Inputs_0x0557 
RTE Data Exchange                        | Rte_IRead            | RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphSOBJData 
RTE Data Exchange                        | Rte_IRead            | RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphSWEData 
RTE Data Exchange                        | Rte_IRead            | RRGLCyclic_PpPSD15_DePSD06m4             
RTE Data Exchange                        | Rte_IStatus          | RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphRGLAData 
RTE Data Exchange                        | Rte_IStatus          | RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphSEData 
RTE Data Exchange                        | Rte_Send             | CtApRoadGraphLight_PpWlaRGLight_DeWlaObjects 
RTE Data Exchange                        | Rte_IStatus          | RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphSWEData 
RTE Data Exchange                        | Rte_IRead            | RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphROBJData 
RTE Data Exchange                        | Rte_IStatus          | RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphSPOSData 
RTE Data Exchange                        | Rte_IRead            | RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphERDData 
RTE Data Exchange                        | Rte_IWriteRef        | RRGLCyclic_PpFRRGout_DeTraceData         
