# CtApRoadGraphLight
# E:\zFAS-Jenkins\workspace\zFAS_AIT_Master_AAT\_ait\SW\0900_System\02_interfaces\CtApRoadGraphLight\ContractHeader\Rte_CtApRoadGraphLight.h
# Generated at: Tue Sep 10 2019 17:16
Rte_Receive_CtApRoadGraphLight_PpDiagGlobalRead_DeFSPCleared|Dt_BOOL
Rte_Receive_CtApRoadGraphLight_PpEML_DeEML|Dt_RECORD_EML
Rte_Receive_CtApRoadGraphLight_PpWlaRGMV_DeWlaObjects|Dt_RECORD_WLA_RG
Rte_Read_CtApRoadGraphLight_PpDiagCoding_DeCoding|Dt_RECORD_Diag_Coding
Rte_IsUpdated_CtApRoadGraphLight_PpDiagCoding_DeCoding|void
Rte_Read_CtApRoadGraphLight_PpDiagCoding_DePermitCodingPersistence|Dt_ENUM_PermitCodingPersistence
Rte_IsUpdated_CtApRoadGraphLight_PpDiagCoding_DePermitCodingPersistence|void
Rte_Read_CtApRoadGraphLight_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA|Dt_RECORD_Anpassung_Deactivate_hardware_in_the_loop_mode_0x0BEA
Rte_IsUpdated_CtApRoadGraphLight_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA|void
Rte_Read_CtApRoadGraphLight_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500|Dt_RECORD_Anpassung_Platform_zFAS_hil_mode_0x0500
Rte_IsUpdated_CtApRoadGraphLight_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500|void
Rte_Read_CtApRoadGraphLight_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB|Dt_RECORD_Anpassung_Roller_Test_Stand_Mode_0x04FB
Rte_IsUpdated_CtApRoadGraphLight_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB|void
Rte_Read_CtApRoadGraphLight_PpDiagRoadGraphLightRead_DeReset_0x0570|Dt_RECORD_Anpassung_Reset_0x0570
Rte_IsUpdated_CtApRoadGraphLight_PpDiagRoadGraphLightRead_DeReset_0x0570|void
Rte_Read_CtApRoadGraphLight_PpDiagRoadGraphLightRead_DeRoad_Graph_Light_Dev_0x0558|Dt_RECORD_Anpassung_Road_Graph_Light_Dev_0x0558
Rte_IsUpdated_CtApRoadGraphLight_PpDiagRoadGraphLightRead_DeRoad_Graph_Light_Dev_0x0558|void
Rte_Read_CtApRoadGraphLight_PpDiagRoadGraphLightRead_DeRoad_Graph_Light_Diagnostics_0x0559|Dt_RECORD_Anpassung_Road_Graph_Light_Diagnostics_0x0559
Rte_IsUpdated_CtApRoadGraphLight_PpDiagRoadGraphLightRead_DeRoad_Graph_Light_Diagnostics_0x0559|void
Rte_Read_CtApRoadGraphLight_PpDiagRoadGraphLightRead_DeRoad_Graph_Light_Inputs_0x0557|Dt_RECORD_Anpassung_Road_Graph_Light_Inputs_0x0557
Rte_IsUpdated_CtApRoadGraphLight_PpDiagRoadGraphLightRead_DeRoad_Graph_Light_Inputs_0x0557|void
Rte_Read_CtApRoadGraphLight_PpDiagRoadGraphLightRead_DeRoad_Graph_Light_Plugins_0x0556|Dt_RECORD_Anpassung_Road_Graph_Light_Plugins_0x0556
Rte_IsUpdated_CtApRoadGraphLight_PpDiagRoadGraphLightRead_DeRoad_Graph_Light_Plugins_0x0556|void
Rte_IRead_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphEHRDBData|void
Rte_IStatus_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphEHRDBData|void
Rte_IRead_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphERDData|void
Rte_IStatus_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphERDData|void
Rte_IRead_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphRGData|void
Rte_IStatus_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphRGData|void
Rte_IRead_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphRGLAData|void
Rte_IStatus_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphRGLAData|void
Rte_IRead_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphRGLData|void
Rte_IStatus_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphRGLData|void
Rte_IRead_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphRGLDIAGData|void
Rte_IStatus_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphRGLDIAGData|void
Rte_IRead_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphROBJData|void
Rte_IStatus_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphROBJData|void
Rte_IRead_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphSEData|void
