Category                                 | RTE type             | Interface                                
------------------------------------     | -----------------    | ------------------------------------   
BAP                                      | Rte_Call             | CtApTVCntrl_BapRequestError_VPS_FSG_Control_BAP_RequestError 
BAP                                      | Rte_Result           | CtApTVCntrl_BapRequestPropFSG_VPS_Guidelines_Status_BAP_RequestByteSequence 
BAP                                      | Rte_Result           | CtApTVCntrl_BapRequestError_VPS_Color_BAP_RequestError 
BAP                                      | Rte_Call             | CtApTVCntrl_BapPropInit_VPS_DynamicParkingMode_BAP_InitSendBufferByteSequence 
RTE Data Exchange                        | Rte_IRead            | RTVCntrl_PpTVMasterTVImageCntrl_DeTVImageRequest 
BAP                                      | Rte_Result           | CtApTVCntrl_BapRequestPropFSG_VPS_DefaultModeRV_Status_BAP_RequestByteSequence 
BAP                                      | Rte_Result           | CtApTVCntrl_BapRequestError_VPS_Switch_2D_3D_BAP_RequestError 
BAP                                      | Rte_Result           | CtApTVCntrl_BapPropInit_VPS_Switch_2D_3D_BAP_InitSendBufferByteSequence 
RTE Data Exchange                        | Rte_Send             | CtApTVCntrl_PpTVPoCMeasurement_DeTVPoCMeasurement 
BAP                                      | Rte_Call             | CtApTVCntrl_BapRequestPropFSG_VPS_CameraCleaning_Status_BAP_RequestByteSequence 
BAP                                      | Rte_Call             | CtApTVCntrl_BapPropInit_VPS_Color_BAP_InitSendBufferByteSequence 
BAP                                      | Rte_Call             | CtApTVCntrl_BapRequestError_VPS_FSG_OperationState_BAP_RequestError 
BAP                                      | Rte_Call             | CtApTVCntrl_BapRequestError_VPS_3D_BirdView_Config_BAP_RequestError 
Persistency, Data read                   | Rte_Read             | CtApTVCntrl_PpPdTVCntrlRead_DeFspeTvControl_Critical 
BAP                                      | Rte_Result           | CtApTVCntrl_BapPropInit_VPS_Display_BAP_InitSendBufferByteSequence 
BAP                                      | Rte_Call             | CtApTVCntrl_BapPropInit_VPS_SystemState_BAP_InitSendBufferByteSequence 
BAP                                      | Rte_Call             | CtApTVCntrl_BapPropInit_VPS_ExtCamera_Config_BAP_InitSendBufferByteSequence 
BAP                                      | Rte_Call             | CtApTVCntrl_BapRequestError_VPS_DefaultModeFV_BAP_RequestError 
BAP                                      | Rte_Result           | CtApTVCntrl_BapPropInit_VPS_FSG_OperationState_BAP_InitSendBufferUInt8 
BAP                                      | Rte_Result           | CtApTVCntrl_BapRequestError_VPS_OPS_Overlay_BAP_RequestError 
RTE Data Exchange                        | Rte_IWrite           | RTVCntrl_PpTVCntrlTVMaster_DeTVLogoStatus 
BAP                                      | Rte_Result           | CtApTVCntrl_BapRequestPropFSG_VPS_ExtCamera_ManActivation_Status_BAP_RequestByteSequence 
Diagnostic, DTC clear                    | Rte_Receive          | CtApTVCntrl_PpDiagGlobalRead_DeFSPCleared 
BAP                                      | Rte_Result           | CtApTVCntrl_BapPropInit_VPS_DefaultModeSV_BAP_InitSendBufferByteSequence 
BAP                                      | Rte_Result           | CtApTVCntrl_BapPropInit_VPS_CameraCleaning_BAP_InitSendBufferByteSequence 
RTE Data Exchange                        | Rte_IRead            | RTVCntrl_PpFRTVCntrlIn_DeFRTVCntrlIn     
RTE Data Exchange                        | Rte_IStatus          | RTVCntrl_PpTVCameraRequest_DeTVCameraRequest 
BAP                                      | Rte_Call             | CtApTVCntrl_BapRequestError_VPS_Messages_BAP_RequestError 
BAP                                      | Rte_Send             | CtApTVCntrl_PpTVCntrlTVMaster_DeTVBapArrayRequest 
BAP                                      | Rte_Result           | CtApTVCntrl_BapRequestError_VPS_Guidelines_BAP_RequestError 
BAP                                      | Rte_Call             | CtApTVCntrl_BapPropInit_VPS_Contrast_BAP_InitSendBufferByteSequence 
BAP                                      | Rte_Call             | CtApTVCntrl_BapRequestError_VPS_CameraStates_BAP_RequestError 
BAP                                      | Rte_Result           | CtApTVCntrl_BapRequestError_VPS_DefaultModeBV_BAP_RequestError 
BAP                                      | Rte_Result           | CtApTVCntrl_BapPropInit_VPS_FSG_Setup2_BAP_InitSendBufferByteSequence 
BAP                                      | Rte_Result           | CtApTVCntrl_BapRequestFSG_VPS_FavoriteList_Status_BAP_RequestByteSequence 
RTE Data Exchange                        | Rte_IWriteRef        | RTVCntrl_PpTV_Status_DeTV_EN             
BAP                                      | Rte_Call             | CtApTVCntrl_BapPropInit_VPS_FSG_OperationState_BAP_InitSendBufferUInt8 
BAP                                      | Rte_Call             | CtApTVCntrl_BapRequestError_VPS_OPS_Overlay_BAP_RequestError 
BAP                                      | Rte_Result           | CtApTVCntrl_BapRequestPropFSG_VPS_FSG_Setup_Status_BAP_RequestByteSequence 
