# CtApTVCntrl
# E:\zFAS-Jenkins\workspace\zFAS_AIT_Master_AAT\_ait\SW\0900_System\02_interfaces\CtApTVCntrl\ContractHeader\Rte_CtApTVCntrl.h
# Generated at: Tue Sep 10 2019 17:16
Rte_Receive_CtApTVCntrl_PpCAM_VCC_Supervision_DeVoltageDropDetectionStatus|Dt_ENUM_CAM_VCC_Status
Rte_Receive_CtApTVCntrl_PpDiagGlobalRead_DeFSPCleared|Dt_BOOL
Rte_Receive_CtApTVCntrl_PpDiagTVCntrlRead_DeArea_cameras_enable_link_0x05E2|Dt_RECORD_Routine_Area_cameras_enable_link_0x05E2_Call
Rte_Receive_CtApTVCntrl_PpDiagTVCntrlRead_DeManoeuvre_Light_Request_0x10F9|Dt_RECORD_IO_Manoeuvre_Light_Request_0x10F9_Call
Rte_Receive_CtApTVCntrl_PpDiagTVCntrlRead_DeSwinging_Logo_Test_0x0998|Dt_RECORD_IO_Swinging_Logo_Test_0x0998_Call
Rte_Receive_CtApTVCntrl_PpDiagTVCntrlRead_DeTopView_camera_cleaning_request_0x81C1|Dt_RECORD_IO_TopView_camera_cleaning_request_0x81C1_Call
Rte_Receive_CtApTVCntrl_PpDiagTVCntrlRead_DeTV_Write_TVCntrl_Parameter_0x100A|Dt_RECORD_Routine_TV_Write_TVCntrl_Parameter_0x100A_Call
Rte_Receive_CtApTVCntrl_PpEML_DeEML|Dt_RECORD_EML
Rte_Receive_CtApTVCntrl_PpTVMasterTVCntrl_DeTVBapArrayResponse|Dt_RECORD_TVBapArrayResponse
Rte_Receive_CtApTVCntrl_PpTVMasterTVCntrl_DeTVBapResponse|Dt_RECORD_TVBapResponse
Rte_Receive_CtApTVCntrl_PpTVMasterTVImageCntrl_DeTVMasterCameraExtrinsics|Dt_RECORD_CameraExtrinsicsToCam
Rte_Read_CtApTVCntrl_Bap_Allowed_DeBapAllowed|Dt_BOOL
Rte_IsUpdated_CtApTVCntrl_Bap_Allowed_DeBapAllowed|void
Rte_IRead_RTVCntrl_PpCAM_VCC_Supervision_DeSYS_9V|void
Rte_IStatus_RTVCntrl_PpCAM_VCC_Supervision_DeSYS_9V|void
Rte_IRead_RTVCntrl_PpCAM_VCC_Supervision_DeTVxISENSE|void
Rte_IStatus_RTVCntrl_PpCAM_VCC_Supervision_DeTVxISENSE|void
Rte_IRead_RTVCntrl_PpCAM_VCC_Supervision_DeTVxVCC|void
Rte_IStatus_RTVCntrl_PpCAM_VCC_Supervision_DeTVxVCC|void
Rte_IRead_RTVCntrl_PpCAM_VCC_Supervision_DeVDD_CAM_PowerGood|void
Rte_IStatus_RTVCntrl_PpCAM_VCC_Supervision_DeVDD_CAM_PowerGood|void
Rte_Read_CtApTVCntrl_PpDiagCoding_DeCoding|Dt_RECORD_Diag_Coding
Rte_IsUpdated_CtApTVCntrl_PpDiagCoding_DeCoding|void
Rte_Read_CtApTVCntrl_PpDiagCoding_DePermitCodingPersistence|Dt_ENUM_PermitCodingPersistence
Rte_IsUpdated_CtApTVCntrl_PpDiagCoding_DePermitCodingPersistence|void
Rte_Read_CtApTVCntrl_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA|Dt_RECORD_Anpassung_Deactivate_hardware_in_the_loop_mode_0x0BEA
Rte_IsUpdated_CtApTVCntrl_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA|void
Rte_Read_CtApTVCntrl_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500|Dt_RECORD_Anpassung_Platform_zFAS_hil_mode_0x0500
Rte_IsUpdated_CtApTVCntrl_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500|void
Rte_Read_CtApTVCntrl_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB|Dt_RECORD_Anpassung_Roller_Test_Stand_Mode_0x04FB
Rte_IsUpdated_CtApTVCntrl_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB|void
Rte_Read_CtApTVCntrl_PpDiagTVCntrlRead_DeProductionmode_0x04FE|Dt_RECORD_Anpassung_Productionmode_0x04FE
Rte_IsUpdated_CtApTVCntrl_PpDiagTVCntrlRead_DeProductionmode_0x04FE|void
Rte_IRead_RTVCntrl_PpDsTVCntrlDataSet_DeApplicationParamsTVCNTRLDS|void
Rte_IStatus_RTVCntrl_PpDsTVCntrlDataSet_DeApplicationParamsTVCNTRLDS|void
Rte_IRead_RTVCntrl_PpDsTVCntrlDataSet_DeApplicationParamsTVCNTRLDS_Dmy|void
Rte_IStatus_RTVCntrl_PpDsTVCntrlDataSet_DeApplicationParamsTVCNTRLDS_Dmy|void
Rte_IRead_RTVCntrl_PpFRParkControlout_DeFRParkControlout|void
Rte_IStatus_RTVCntrl_PpFRParkControlout_DeFRParkControlout|void
Rte_IRead_RTVCntrl_PpFRParkControlout_DePduGrp_IPA_01|void
Rte_IStatus_RTVCntrl_PpFRParkControlout_DePduGrp_IPA_01|void
Rte_IRead_RTVCntrl_PpFRParkControlout_DePduGrp_IPA_02|void
Rte_IStatus_RTVCntrl_PpFRParkControlout_DePduGrp_IPA_02|void
Rte_IRead_RTVCntrl_PpFRParkControlout_DePduGrp_Parkhilfe2_01|void
Rte_IStatus_RTVCntrl_PpFRParkControlout_DePduGrp_Parkhilfe2_01|void
Rte_IRead_RTVCntrl_PpFRParkControlout_DePduGrp_Parkhilfe2_04|void
Rte_IStatus_RTVCntrl_PpFRParkControlout_DePduGrp_Parkhilfe2_04|void
Rte_IRead_RTVCntrl_PpFRParkControlout_DePduGrp_PLA2_01|void
Rte_IStatus_RTVCntrl_PpFRParkControlout_DePduGrp_PLA2_01|void
Rte_IRead_RTVCntrl_PpFRParkControlout_DePduGrp_PLA2_02|void
Rte_IStatus_RTVCntrl_PpFRParkControlout_DePduGrp_PLA2_02|void
Rte_IRead_RTVCntrl_PpFRParkControlout_DePduGrp_PLA2_Status_02|void
Rte_IStatus_RTVCntrl_PpFRParkControlout_DePduGrp_PLA2_Status_02|void
Rte_IRead_RTVCntrl_PpFRParkControlout_DePduGrp_ZFAS_01|void
Rte_IStatus_RTVCntrl_PpFRParkControlout_DePduGrp_ZFAS_01|void
Rte_IRead_RTVCntrl_PpFRParkControlout_DeTraceData|void
Rte_IStatus_RTVCntrl_PpFRParkControlout_DeTraceData|void
Rte_IRead_RTVCntrl_PpFRTVCntrlIn_DeFRTVCntrlIn|void
Rte_IStatus_RTVCntrl_PpFRTVCntrlIn_DeFRTVCntrlIn|void
Rte_IRead_RTVCntrl_PpParkControl2TVmaster_DeParkControl2TVmaster|void
Rte_IStatus_RTVCntrl_PpParkControl2TVmaster_DeParkControl2TVmaster|void
Rte_Read_CtApTVCntrl_PpPdTVCntrlRead_DeApplicationParamsTVCNTRLRW_Normal|Dt_RECORD_ApplicationParamsTVCNTRLRW_Normal
Rte_IsUpdated_CtApTVCntrl_PpPdTVCntrlRead_DeApplicationParamsTVCNTRLRW_Normal|void
Rte_Read_CtApTVCntrl_PpPdTVCntrlRead_DeFreezeFrameTvControl_Critical|Dt_RECORD_FreezeFrameTvControl
Rte_IsUpdated_CtApTVCntrl_PpPdTVCntrlRead_DeFreezeFrameTvControl_Critical|void
Rte_Read_CtApTVCntrl_PpPdTVCntrlRead_DeFspeTvControl_Critical|Dt_RECORD_FspeTvControl
Rte_IsUpdated_CtApTVCntrl_PpPdTVCntrlRead_DeFspeTvControl_Critical|void
Rte_IRead_RTVCntrl_PpPFHwMeasurements_DeTHS|void
Rte_IStatus_RTVCntrl_PpPFHwMeasurements_DeTHS|void
Rte_IRead_RTVCntrl_PpPFHwMeasurements_DeVBAT_MAIN|void
Rte_IStatus_RTVCntrl_PpPFHwMeasurements_DeVBAT_MAIN|void
Rte_IRead_RTVCntrl_PpPFProvidedData_DeCurConsecutiveSysRestartCnt|void
Rte_IStatus_RTVCntrl_PpPFProvidedData_DeCurConsecutiveSysRestartCnt|void
Rte_IRead_RTVCntrl_PpPFProvidedData_DeIFSETVersion|void
Rte_IStatus_RTVCntrl_PpPFProvidedData_DeIFSETVersion|void
Rte_IRead_RTVCntrl_PpPFProvidedData_DeLCSAPHState|void
Rte_IStatus_RTVCntrl_PpPFProvidedData_DeLCSAPHState|void
Rte_IRead_RTVCntrl_PpPFProvidedData_DeLCSMVHState|void
Rte_IStatus_RTVCntrl_PpPFProvidedData_DeLCSMVHState|void
Rte_IRead_RTVCntrl_PpPFProvidedData_DeLCSSRHState|void
Rte_IStatus_RTVCntrl_PpPFProvidedData_DeLCSSRHState|void
Rte_IRead_RTVCntrl_PpPFProvidedData_DeLCSSSHState|void
Rte_IStatus_RTVCntrl_PpPFProvidedData_DeLCSSSHState|void
Rte_IRead_RTVCntrl_PpPFProvidedData_DeLCSSystemState|void
Rte_IStatus_RTVCntrl_PpPFProvidedData_DeLCSSystemState|void
Rte_IRead_RTVCntrl_PpPFProvidedData_DeTotalSysRestartCnt|void
Rte_IStatus_RTVCntrl_PpPFProvidedData_DeTotalSysRestartCnt|void
Rte_IRead_RTVCntrl_PpPFProvidedData_DeVARHWVariant|void
Rte_IStatus_RTVCntrl_PpPFProvidedData_DeVARHWVariant|void
Rte_IRead_RTVCntrl_PpTVCameraRequest_DeTVCameraRequest|void
Rte_IStatus_RTVCntrl_PpTVCameraRequest_DeTVCameraRequest|void
Rte_IRead_RTVCntrl_PpTVMasterTVCntrl_DeTVCleanRequest|void
Rte_IStatus_RTVCntrl_PpTVMasterTVCntrl_DeTVCleanRequest|void
Rte_IRead_RTVCntrl_PpTVMasterTVImageCntrl_DeTVImageRequest|void
Rte_IStatus_RTVCntrl_PpTVMasterTVImageCntrl_DeTVImageRequest|void
Rte_Send_CtApTVCntrl_PpDiagTVCntrlWrite_DeArea_cameras_enable_link_0x05E2|Dt_RECORD_Routine_Area_cameras_enable_link_0x05E2_RetVal
Rte_Send_CtApTVCntrl_PpDiagTVCntrlWrite_DeManoeuvre_Light_Request_0x10F9|Dt_RECORD_IO_Manoeuvre_Light_Request_0x10F9_RetVal
Rte_Send_CtApTVCntrl_PpDiagTVCntrlWrite_DeSwinging_Logo_Test_0x0998|Dt_RECORD_IO_Swinging_Logo_Test_0x0998_RetVal
Rte_Send_CtApTVCntrl_PpDiagTVCntrlWrite_DeTopView_camera_cleaning_request_0x81C1|Dt_RECORD_IO_TopView_camera_cleaning_request_0x81C1_RetVal
Rte_Send_CtApTVCntrl_PpDiagTVCntrlWrite_DeTV_Write_TVCntrl_Parameter_0x100A|Dt_RECORD_Routine_TV_Write_TVCntrl_Parameter_0x100A_RetVal
Rte_Send_CtApTVCntrl_PpTVCntrlTVMaster_DeTVBapArrayRequest|Dt_RECORD_TVBapArrayRequest
Rte_Send_CtApTVCntrl_PpTVCntrlTVMaster_DeTVBapRequest|Dt_RECORD_TVBapRequest
Rte_Send_CtApTVCntrl_PpTVPoCMeasurement_DeTVPoCMeasurement|Dt_RECORD_TVPoCMeasurement
Rte_Write_CtApTVCntrl_Bap_Freigabe_VPS_BapFreigabe|Dt_BOOL
Rte_Write_CtApTVCntrl_PpDiagTVCntrlWrite_DeMesswerte_TVCntrl|Dt_RECORD_Messwert_TVCntrl
Rte_IWrite_RTVCntrl_PpFRTVCntrlOut_DeFRTVCntrlOut|Dt_RECORD_FRTVCntrlOut
Rte_IWriteRef_RTVCntrl_PpFRTVCntrlOut_DeFRTVCntrlOut|void
Rte_IWrite_RTVCntrl_PpFRTVCntrlOut_DePduGrp_Rear_View_01|Dt_BOOL_PduGroup
Rte_IWriteRef_RTVCntrl_PpFRTVCntrlOut_DePduGrp_Rear_View_01|void
Rte_IWrite_RTVCntrl_PpFRTVCntrlOut_DeTraceData|Dt_RECORD_TraceData
Rte_IWriteRef_RTVCntrl_PpFRTVCntrlOut_DeTraceData|void
Rte_Write_CtApTVCntrl_PpPdTVCntrlWrite_DeApplicationParamsTVCNTRLRW_Normal|Dt_RECORD_ApplicationParamsTVCNTRLRW_Normal
Rte_Write_CtApTVCntrl_PpPdTVCntrlWrite_DeFreezeFrameTvControl_Critical|Dt_RECORD_FreezeFrameTvControl
Rte_Write_CtApTVCntrl_PpPdTVCntrlWrite_DeFspeTvControl_Critical|Dt_RECORD_FspeTvControl
Rte_IWrite_RTVCntrl_PpTV_Status_DeTV_EN|Dt_ENUM_TV_EN
Rte_IWriteRef_RTVCntrl_PpTV_Status_DeTV_EN|void
Rte_IWrite_RTVCntrl_PpTVCntrlTVMaster_DeTVCleaningStatus|Dt_RECORD_TVCleaningStatus
Rte_IWriteRef_RTVCntrl_PpTVCntrlTVMaster_DeTVCleaningStatus|void
Rte_IWrite_RTVCntrl_PpTVCntrlTVMaster_DeTVLogoStatus|Dt_RECORD_TVLogoStatus
Rte_IWriteRef_RTVCntrl_PpTVCntrlTVMaster_DeTVLogoStatus|void
Rte_IWrite_RTVCntrl_PpTVCntrlTVMaster_DeTVWingMirrorStatus|Dt_RECORD_TVWingMirrorStatus
Rte_IWriteRef_RTVCntrl_PpTVCntrlTVMaster_DeTVWingMirrorStatus|void
Rte_Call_CtApTVCntrl_BapGet_VPS_State|UInt8
Rte_Result_CtApTVCntrl_BapGet_VPS_State|Dt_BOOL
Rte_Call_CtApTVCntrl_BapPropInit_VPS_3D_BirdView_BAP_InitSendBufferByteSequence|byteSequence4_t
Rte_Result_CtApTVCntrl_BapPropInit_VPS_3D_BirdView_BAP_InitSendBufferByteSequence|byteSequence4_t
Rte_Call_CtApTVCntrl_BapPropInit_VPS_3D_BirdView_Config_BAP_InitSendBufferByteSequence|byteSequence3_t
Rte_Result_CtApTVCntrl_BapPropInit_VPS_3D_BirdView_Config_BAP_InitSendBufferByteSequence|byteSequence3_t
Rte_Call_CtApTVCntrl_BapPropInit_VPS_BAP_Config_BAP_InitSendBufferByteSequence|byteSequence6_t
Rte_Result_CtApTVCntrl_BapPropInit_VPS_BAP_Config_BAP_InitSendBufferByteSequence|byteSequence6_t
Rte_Call_CtApTVCntrl_BapPropInit_VPS_Brightness_BAP_InitSendBufferByteSequence|byteSequence2_t
Rte_Result_CtApTVCntrl_BapPropInit_VPS_Brightness_BAP_InitSendBufferByteSequence|byteSequence2_t
Rte_Call_CtApTVCntrl_BapPropInit_VPS_CameraCleaning_BAP_InitSendBufferByteSequence|byteSequence2_t
