Category                                 | RTE type             | Interface                                
------------------------------------     | -----------------    | ------------------------------------   
Persistency, DataSet                     | Rte_IRead            | RTVIP_PpDsTVIPDataSet_DeParametersRefRight 
UDS Diagnostic, Messwerte                | Rte_Write            | CtApTVIP_PpDiagTVIPWrite_DeMesswerte_TVIP 
Persistency, DataSet                     | Rte_IRead            | RTVIP_PpDsTVIPDataSet_DeParametersHekRight 
Persistency, DataSet                     | Rte_IRead            | RTVIP_PpDsTVIPDataSet_DeParametersSTPRefRight 
RTE Data Exchange                        | Rte_Send             | CtApTVIP_PpOBFObjTVIP_DeTVBVObjCam2      
Persistency, DataSet                     | Rte_IRead            | RTVIP_PpDsTVIPDataSet_DeParametersRefLeft 
Persistency, DataSet                     | Rte_IStatus          | RTVIP_PpDsTVIPDataSet_DeParametersSTPRefLeft 
Persistency, DataSet                     | Rte_IRead            | RTVIP_PpDsTVIPDataSet_DeParametersSTPHekRight 
RTE Data Exchange                        | Rte_Send             | CtApTVIP_PpFencesTVBV_DeTVBVFreespaceFences 
Persistency, DataSet                     | Rte_IRead            | RTVIP_PpDsTVIPDataSet_DeParametersSTPRefFront 
Persistency, DataSet                     | Rte_IStatus          | RTVIP_PpDsTVIPDataSet_DeParametersHekRear 
Persistency, Data write                  | Rte_Write            | CtApTVIP_PpPdTVIPWrite_DeParametersCameraLeft_Normal 
Persistency, DataSet                     | Rte_IStatus          | RTVIP_PpDsTVIPDataSet_DeParametersSTPRefFront 
Persistency, DataSet                     | Rte_IStatus          | RTVIP_PpDsTVIPDataSet_DeParametersSTPRefRight 
Persistency, Data read                   | Rte_Read             | CtApTVIP_PpPdTVIPRead_DeParametersCameraRight_Normal 
RTE Data Exchange                        | Rte_IRead            | RTVIP_PpFRACFStateMachineOut_DeFRACFStateMachineOut 
Persistency, DataSet                     | Rte_IStatus          | RTVIP_PpDsTVIPDataSet_DeParametersSTPHekFront 
Persistency, DataSet                     | Rte_IRead            | RTVIP_PpDsTVIPDataSet_DeParametersSTPRefRear 
RTE Data Exchange                        | Rte_Send             | CtApTVIP_PpOBFObjTVIP_DeTVBVObjCam1      
RTE Data Exchange                        | Rte_Send             | CtApTVIP_PpTVIP2PerceptionAvailability_DeStatusTVIPSensors 
RTE Data Exchange                        | Rte_IRead            | RTVIP_PpTVCntrlTVMaster_DeTVWingMirrorStatus 
RTE Data Exchange                        | Rte_IStatus          | RTVIP_PpTVCntrlTVMaster_DeTVLogoStatus   
Persistency, Data read                   | Rte_Read             | CtApTVIP_PpPdTVIPRead_DeParametersCameraLeft_Normal 
Persistency, DataSet                     | Rte_IRead            | RTVIP_PpDsTVIPDataSet_DeParametersSTPHekRear 
LCS                                      | Rte_IRead            | RTVIP_PpPFProvidedData_DeLCSSRHState     
Persistency, DataSet                     | Rte_IRead            | RTVIP_PpDsTVIPDataSet_DeParametersStatusMachine 
Persistency, DataSet                     | Rte_IRead            | RTVIP_PpDsTVIPDataSet_DeParametersSTPRefLeft 
