# CtApTVIP
# E:\zFAS-Jenkins\workspace\zFAS_AIT_Master_AAT\_ait\SW\0900_System\02_interfaces\CtApTVIP\ContractHeader\Rte_CtApTVIP.h
# Generated at: Tue Sep 10 2019 17:16
Rte_Receive_CtApTVIP_PpDiagGlobalRead_DeFSPCleared|Dt_BOOL
Rte_Receive_CtApTVIP_PpEML_DeEML|Dt_RECORD_EML
Rte_Receive_CtApTVIP_PpFRTVBVin_DeFRTVBVin|Dt_RECORD_FRTVBVin
Rte_Receive_CtApTVIP_PpTVCntrlTVMaster_DeTVBapArrayRequest|Dt_RECORD_TVBapArrayRequest
Rte_Receive_CtApTVIP_PpTVCntrlTVMaster_DeTVBapRequest|Dt_RECORD_TVBapRequest
Rte_Read_CtApTVIP_PpDiagCoding_DeCoding|Dt_RECORD_Diag_Coding
Rte_IsUpdated_CtApTVIP_PpDiagCoding_DeCoding|void
Rte_Read_CtApTVIP_PpDiagCoding_DePermitCodingPersistence|Dt_ENUM_PermitCodingPersistence
Rte_IsUpdated_CtApTVIP_PpDiagCoding_DePermitCodingPersistence|void
Rte_Read_CtApTVIP_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA|Dt_RECORD_Anpassung_Deactivate_hardware_in_the_loop_mode_0x0BEA
Rte_IsUpdated_CtApTVIP_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA|void
Rte_Read_CtApTVIP_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500|Dt_RECORD_Anpassung_Platform_zFAS_hil_mode_0x0500
Rte_IsUpdated_CtApTVIP_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500|void
Rte_Read_CtApTVIP_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB|Dt_RECORD_Anpassung_Roller_Test_Stand_Mode_0x04FB
Rte_IsUpdated_CtApTVIP_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB|void
Rte_Read_CtApTVIP_PpDiagTVIPRead_DeProductionmode_0x04FE|Dt_RECORD_Anpassung_Productionmode_0x04FE
Rte_IsUpdated_CtApTVIP_PpDiagTVIPRead_DeProductionmode_0x04FE|void
Rte_Read_CtApTVIP_PpDiagTVIPRead_DeTVIP_Debug_0x050C|Dt_RECORD_Anpassung_TVIP_Debug_0x050C
Rte_IsUpdated_CtApTVIP_PpDiagTVIPRead_DeTVIP_Debug_0x050C|void
Rte_IRead_RTVIP_PpDsTVIPDataSet_DeParametersHekFront|void
Rte_IStatus_RTVIP_PpDsTVIPDataSet_DeParametersHekFront|void
Rte_IRead_RTVIP_PpDsTVIPDataSet_DeParametersHekLeft|void
Rte_IStatus_RTVIP_PpDsTVIPDataSet_DeParametersHekLeft|void
Rte_IRead_RTVIP_PpDsTVIPDataSet_DeParametersHekPostprocessing|void
Rte_IStatus_RTVIP_PpDsTVIPDataSet_DeParametersHekPostprocessing|void
Rte_IRead_RTVIP_PpDsTVIPDataSet_DeParametersHekRear|void
Rte_IStatus_RTVIP_PpDsTVIPDataSet_DeParametersHekRear|void
Rte_IRead_RTVIP_PpDsTVIPDataSet_DeParametersHekRight|void
Rte_IStatus_RTVIP_PpDsTVIPDataSet_DeParametersHekRight|void
Rte_IRead_RTVIP_PpDsTVIPDataSet_DeParametersRefFront|void
Rte_IStatus_RTVIP_PpDsTVIPDataSet_DeParametersRefFront|void
Rte_IRead_RTVIP_PpDsTVIPDataSet_DeParametersRefLeft|void
Rte_IStatus_RTVIP_PpDsTVIPDataSet_DeParametersRefLeft|void
Rte_IRead_RTVIP_PpDsTVIPDataSet_DeParametersRefRear|void
Rte_IStatus_RTVIP_PpDsTVIPDataSet_DeParametersRefRear|void
Rte_IRead_RTVIP_PpDsTVIPDataSet_DeParametersRefRight|void
Rte_IStatus_RTVIP_PpDsTVIPDataSet_DeParametersRefRight|void
Rte_IRead_RTVIP_PpDsTVIPDataSet_DeParametersStatusMachine|void
Rte_IStatus_RTVIP_PpDsTVIPDataSet_DeParametersStatusMachine|void
Rte_IRead_RTVIP_PpDsTVIPDataSet_DeParametersSTPHekFront|void
Rte_IStatus_RTVIP_PpDsTVIPDataSet_DeParametersSTPHekFront|void
Rte_IRead_RTVIP_PpDsTVIPDataSet_DeParametersSTPHekLeft|void
Rte_IStatus_RTVIP_PpDsTVIPDataSet_DeParametersSTPHekLeft|void
Rte_IRead_RTVIP_PpDsTVIPDataSet_DeParametersSTPHekPostprocessing|void
Rte_IStatus_RTVIP_PpDsTVIPDataSet_DeParametersSTPHekPostprocessing|void
Rte_IRead_RTVIP_PpDsTVIPDataSet_DeParametersSTPHekRear|void
Rte_IStatus_RTVIP_PpDsTVIPDataSet_DeParametersSTPHekRear|void
Rte_IRead_RTVIP_PpDsTVIPDataSet_DeParametersSTPHekRight|void
Rte_IStatus_RTVIP_PpDsTVIPDataSet_DeParametersSTPHekRight|void
Rte_IRead_RTVIP_PpDsTVIPDataSet_DeParametersSTPRefFront|void
Rte_IStatus_RTVIP_PpDsTVIPDataSet_DeParametersSTPRefFront|void
Rte_IRead_RTVIP_PpDsTVIPDataSet_DeParametersSTPRefLeft|void
Rte_IStatus_RTVIP_PpDsTVIPDataSet_DeParametersSTPRefLeft|void
Rte_IRead_RTVIP_PpDsTVIPDataSet_DeParametersSTPRefRear|void
Rte_IStatus_RTVIP_PpDsTVIPDataSet_DeParametersSTPRefRear|void
Rte_IRead_RTVIP_PpDsTVIPDataSet_DeParametersSTPRefRight|void
Rte_IStatus_RTVIP_PpDsTVIPDataSet_DeParametersSTPRefRight|void
Rte_IRead_RTVIP_PpFRACFStateMachineOut_DeFRACFStateMachineOut|void
Rte_IStatus_RTVIP_PpFRACFStateMachineOut_DeFRACFStateMachineOut|void
Rte_IRead_RTVIP_PpFRACFStateMachineOut_DePduGrp_FAS_VK_01|void
Rte_IStatus_RTVIP_PpFRACFStateMachineOut_DePduGrp_FAS_VK_01|void
Rte_IRead_RTVIP_PpFRACFStateMachineOut_DePduGrp_STP_03|void
Rte_IStatus_RTVIP_PpFRACFStateMachineOut_DePduGrp_STP_03|void
Rte_IRead_RTVIP_PpFRACFStateMachineOut_DeTraceData|void
Rte_IStatus_RTVIP_PpFRACFStateMachineOut_DeTraceData|void
