Category                                 | RTE type             | Interface                                
------------------------------------     | -----------------    | ------------------------------------   
RTE Data Exchange                        | Rte_IStatus          | RTVRmain_PpPFProvidedData_DeCurConsecutiveSysRestartCnt 
Persistency, Data read                   | Rte_IsUpdated        | CtApTVMaster_PpPdTVMasterRead_DeFspeTvMaster_Critical 
RTE Data Exchange                        | Rte_IWrite           | RTVRmain_PpLcsTVmNvramStorageSRHStatus_DeWriteAllStatus 
RTE Data Exchange                        | Rte_IsUpdated        | CtApTVMaster_PpPdTVICRead_DeCameraDeviceInfoFront_Normal 
Persistency, Data read                   | Rte_Read             | CtApTVMaster_PpPdTVMasterRead_DeViewParams_Normal 
Time Service, Convert ZGT                | Rte_Call             | CtApTVMaster_PpPFServer_TS_ConvertZgt2Agt 
Persistency, Data read                   | Rte_Read             | CtApTVMaster_PpPdTVMasterRead_DeSuspensionAtOnlineLeft_Normal 
RTE Data Exchange                        | Rte_Read             | CtApTVMaster_PpFRParkControlout_DePduGrp_ZFAS_01 
LCS                                      | Rte_IRead            | RTVRmain_PpPFProvidedData_DeLCSSSHState  
RTE Data Exchange                        | Rte_Read             | CtApTVMaster_PpFRParkControlout_DePduGrp_IPA_01 
LCS                                      | Rte_IRead            | RTVRmain_PpPFProvidedData_DeLCSSystemState 
RTE Data Exchange                        | Rte_Read             | CtApTVMaster_PpPdTVICRead_DeApplicationParamsTVICRW_Normal 
RTE Data Exchange                        | Rte_IsUpdated        | CtApTVMaster_PpPdTVICRead_DeIntrinsicsRight_Normal 
Persistency, Data read                   | Rte_IsUpdated        | CtApTVMaster_PpPdTVMasterRead_DeViewParams_Normal 
RTE Data Exchange                        | Rte_IsUpdated        | CtApTVMaster_PpFRParkControlout_DePduGrp_Parkhilfe2_01 
Persistency, Data read                   | Rte_Read             | CtApTVMaster_PpPdTVMasterRead_DeCalibrationParams_Normal 
RTE Data Exchange                        | Rte_Read             | CtApTVMaster_PpFRParkControlout_DeTraceData 
Persistency, Data read                   | Rte_IsUpdated        | CtApTVMaster_PpPdTVMasterRead_DeCtaParams_Normal 
Persistency, Data write                  | Rte_Write            | CtApTVMaster_PpPdTVMasterWrite_DeApplicationParamsTVMASTERRW_Normal 
Persistency, Data write                  | Rte_Write            | CtApTVMaster_PpPdTVMasterWrite_DeViewParams_Normal 
Persistency, Data write                  | Rte_Write            | CtApTVMaster_PpPdTVMasterWrite_DeSuspensionAtOnlineBack_Normal 
IF-Set Version                           | Rte_IRead            | RTVRmain_PpPFProvidedData_DeIFSETVersion 
RTE Data Exchange                        | Rte_IStatus          | RTVRmain_PpPFHwMeasurements_DeTHS        
LCS                                      | Rte_IRead            | RTVRmain_PpPFProvidedData_DeLCSSRHState  
Persistency, DataSet                     | Rte_IRead            | RTVRmain_PpDsTVMasterDataSet_DeHmiConfig 
Persistency, Data read                   | Rte_Read             | CtApTVMaster_PpPdTVMasterRead_DeSuspensionAtOnlineBack_Normal 
UDS Diagnostic, Anpassung                | Rte_Read             | CtApTVMaster_PpDiagTVMasterRead_DeTV_control_state_0x0565 
RTE Data Exchange                        | Rte_IsUpdated        | CtApTVMaster_PpPdTVICRead_DeFreezeFrameTvIC_Critical 
RTE Data Exchange                        | Rte_Read             | CtApTVMaster_PpFRParkControlout_DePduGrp_PLA2_Status_02 
RTE Data Exchange                        | Rte_Read             | CtApTVMaster_PpPdTVICRead_DeCameraDeviceInfoLeft_Normal 
Persistency, Data read                   | Rte_IsUpdated        | CtApTVMaster_PpPdTVMasterRead_DeSuspensionAtOnlineLeft_Normal 
Persistency, Data write                  | Rte_Write            | CtApTVMaster_PpPdTVMasterWrite_DeSuspensionAtOnlineRight_Normal 
Persistency, Data read                   | Rte_IsUpdated        | CtApTVMaster_PpPdTVMasterRead_DeCalibrationParams_Normal 
RTE Data Exchange                        | Rte_IRead            | RTVRmain_PpPFHwMeasurements_DeVBAT_MAIN  
Persistency, Big Data                    | Rte_IStatus          | RTVRmain_PpBdTVMasterRead_DeDeBlindnessNvDataRight_Normal 
RTE Data Exchange                        | Rte_Read             | CtApTVMaster_PpPdTVICRead_DeIntrinsicsRight_Normal 
Persistency, Data write                  | Rte_Write            | CtApTVMaster_PpPdTVMasterWrite_DeFspeTvMaster_Critical 
Persistency, Data read                   | Rte_Read             | CtApTVMaster_PpPdTVMasterRead_DeApplicationParamsTVMASTERRW_Normal 
Persistency, Big Data                    | Rte_IRead            | RTVRmain_PpBdTVMasterRead_DeDeBlindnessNvDataRight_Normal 
Persistency, Data write                  | Rte_Write            | CtApTVMaster_PpPdTVMasterWrite_DeBlindnessParams_Normal 
Diagnostic, Global                       | Rte_Read             | CtApTVMaster_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA 
RTE Data Exchange                        | Rte_IsUpdated        | CtApTVMaster_PpFRParkControlout_DePduGrp_PLA2_Status_02 
Persistency, Big Data                    | Rte_IWriteRef        | RTVRmain_PpBdTVMasterWrite_DeDeBlindnessNvDataLeft_Normal 
Persistency, Data read                   | Rte_IsUpdated        | CtApTVMaster_PpPdTVMasterRead_DeSuspensionAtOnlineRight_Normal 
RTE Data Exchange                        | Rte_IsUpdated        | CtApTVMaster_PpFRParkControlout_DePduGrp_PLA2_02 
Time Service, Convert AGT                | Rte_Call             | CtApTVMaster_PpPFServer_TS_ConvertAgt2Zgt 
LCS                                      | Rte_IStatus          | RTVRmain_PpPFProvidedData_DeLCSMVHState  
