Category                                 | RTE type             | Interface                                
------------------------------------     | -----------------    | ------------------------------------   
Persistency, Data read                   | Rte_Read             | CtApTVMaster_PpPdTVMasterRead_DeExtrinsicsEolLeft_Critical 
Persistency, Data write                  | Rte_Write            | CtApTVMaster_PpPdTVMasterWrite_DeFavoriteList_Normal 
UDS Diagnostic, Routine Call             | Rte_Receive          | CtApTVMaster_PpDiagTVMasterRead_DeTV_Trigger_EDRPiloFA_0x1007 
RTE Data Exchange                        | Rte_IStatus          | RTVRmain_PpTVCntrlTVMaster_DeTVWingMirrorStatus 
UDS Diagnostic, Stellglied Return        | Rte_Send             | CtApTVMaster_PpDiagTVMasterWrite_DePlatform_zFAS_Testpattern_TopView_Left_0x1065 
UDS Diagnostic, Anpassung                | Rte_Read             | CtApTVMaster_PpDiagTVMasterRead_DeTV_enable_testscreen_0x0506 
RTE Data Exchange                        | Rte_Read             | CtApTVMaster_PpFRParkControlout_DeFRParkControlout 
RTE Data Exchange                        | Rte_IsUpdated        | CtApTVMaster_PpPFWorkloadSRH_DeSRHWorkload 
RTE Data Exchange                        | Rte_IRead            | RTVRmain_PpTVCntrlTVMaster_DeTVLogoStatus 
Diagnostic, Global                       | Rte_Read             | CtApTVMaster_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB 
RTE Data Exchange                        | Rte_IWrite           | RTVRmain_PpTVmaster2ParkControl_DeTVmaster2ParkControl 
UDS Diagnostic, Routine Return           | Rte_Send             | CtApTVMaster_PpDiagTVMasterWrite_DeTV_Trigger_EDRPiloFA_0x1007 
Persistency, DataSet                     | Rte_IRead            | RTVRmain_PpDsTVMasterDataSet_DeCalibOlmcConfigParams 
SWC Version Info                         | Rte_Call             | CtApTVMaster_PpPFServer_MW_SetSwcInfo    
Persistency, DataSet                     | Rte_IStatus          | RTVRmain_PpDsTVMasterDataSet_DeExtrinsicsCadLeft 
RTE Data Exchange                        | Rte_IRead            | RTVRmain_PpTVCntrlTVMaster_DeTVWingMirrorStatus 
RTE Data Exchange                        | Rte_IStatus          | RTVRmain_PpParkControl2TVmaster_DeParkControl2TVmaster 
UDS Diagnostic, Stellglied Call          | Rte_Receive          | CtApTVMaster_PpDiagTVMasterRead_DePlatform_zFAS_Testpattern_TopView_Left_0x1065 
Persistency, DataSet                     | Rte_IRead            | RTVRmain_PpDsTVMasterDataSet_DeBlindnessParamsDefault 
RTE Data Exchange                        | Rte_IRead            | RTVRmain_PpTVCntrlTVMaster_DeTVCleaningStatus 
UDS Diagnostic, Anpassung                | Rte_Read             | CtApTVMaster_PpDiagTVMasterRead_DeProductionmode_0x04FE 
EDR                                      | Rte_IStatus          | RTVRmain_PpEDRCamTriggerTV_DeEDRCamTrigger 
BAP                                      | Rte_Receive          | CtApTVMaster_PpTVCntrlTVMaster_DeTVBapRequest 
Persistency, DataSet                     | Rte_IRead            | RTVRmain_PpDsTVMasterDataSet_DeApplicationParamsTVMASTERDS 
Persistency, DataSet                     | Rte_IRead            | RTVRmain_PpDsTVMasterDataSet_DeFavoriteListDefault 
Persistency, Data read                   | Rte_Read             | CtApTVMaster_PpPdTVMasterRead_DeExtrinsicsEolBack_Critical 
Diagnostic, DTC clear                    | Rte_Receive          | CtApTVMaster_PpDiagGlobalRead_DeFSPCleared 
Persistency, DataSet                     | Rte_IStatus          | RTVRmain_PpDsTVMasterDataSet_DeCalibOlmcConfigParams 
