Category                                 | RTE type             | Interface                                
------------------------------------     | -----------------    | ------------------------------------   
RTE Data Exchange                        | Rte_IStatus          | RTrailerManeuverAssistIPMain_PpPFHwMeasurements_DeTHS 
Diagnostic, Global                       | Rte_IsUpdated        | CtApTrailerManeuverAssistIP_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB 
Time Service, Convert AGT                | Rte_Call             | CtApTrailerManeuverAssistIP_PpPFServer_TS_ConvertAgt2Zgt 
RTE Data Exchange                        | Rte_IWrite           | RTrailerManeuverAssistIPMain_PpFRTVTADout_DeTraceData 
Time Service, Timestamp                  | Rte_Call             | CtApTrailerManeuverAssistIP_PpPFServer_TS_GetZgtTimestamp 
Time Service, Remaining Time Budget      | Rte_Call             | CtApTrailerManeuverAssistIP_PpPFServer_TS_GetRemainingTimeBudget 
Diagnostic, DTC clear                    | Rte_Receive          | CtApTrailerManeuverAssistIP_PpDiagGlobalRead_DeFSPCleared 
RTE Data Exchange                        | Rte_IStatus          | RTrailerManeuverAssistIPMain_PpPFHwMeasurements_DeVBAT_MAIN 
HW Variant Interface                     | Rte_IStatus          | RTrailerManeuverAssistIPMain_PpPFProvidedData_DeVARHWVariant 
IF-Set Version                           | Rte_IStatus          | RTrailerManeuverAssistIPMain_PpPFProvidedData_DeIFSETVersion 
RTE Data Exchange                        | Rte_IsUpdated        | CtApTrailerManeuverAssistIP_PpDiagCoding_DePermitCodingPersistence 
RTE Data Exchange                        | Rte_IStatus          | RTrailerManeuverAssistIPMain_PpTVCntrlTVMaster_DeTVWingMirrorStatus 
Time Service, AGT                        | Rte_Call             | CtApTrailerManeuverAssistIP_PpPFServer_TS_GetAgtTimestamp 
Persistency, Data read                   | Rte_IsUpdated        | CtApTrailerManeuverAssistIP_PpPdTrailerManeuverAssistIPRead_DeARACAMPersistanceLastStatus_Normal 
RTE Data Exchange                        | Rte_IStatus          | RTrailerManeuverAssistIPMain_PpPFProvidedData_DeTotalSysRestartCnt 
RTE Data Exchange                        | Rte_IRead            | RTrailerManeuverAssistIPMain_PpPFProvidedData_DeTotalSysRestartCnt 
RTE Data Exchange                        | Rte_IRead            | RTrailerManeuverAssistIPMain_PpPFHwMeasurements_DeVBAT_MAIN 
Diagnostic, Get DTC Event                | Rte_Call             | CtApTrailerManeuverAssistIP_PpEventHandling_GetEventStatus 
Persistency, Data write                  | Rte_Write            | CtApTrailerManeuverAssistIP_PpPdTrailerManeuverAssistIPWrite_DeARACAMPersistanceReference_Normal 
