Category                                 | RTE type             | Interface                                
------------------------------------     | -----------------    | ------------------------------------   
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpPSD15_DePSD06m4      
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpFREyeQComOut_DePduGrp_BV2_Objekt_xx 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpFRACFStateMachineOut_DeTraceData 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpPSD15_DePSD04        
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpFRACFout_DePduGrp_HCA_02 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpFRParkControlout_DeFRParkControlout 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpPerceptionAvailabilityACFObs_DePerceptionAvailabilityACFObs 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpFRACFout_DePduGrp_STP_02 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpVersionInformationAPH_DeSWCVersionInformation 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpFRACFout_DePduGrp_PACC_CAC 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpCalibFailMV_DeCalibrationMV 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpFREyeQComOut_DePduGrp_BV2_Linien_Ego_Doppel 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpPSD15_DePSDLR01m2    
EDR                                      | Rte_IRead            | REDRPiDrivingMain_PpPSD15_DePSDLR01m0    
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpDsParkControlDataSet_DeColmCfg 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpFREyeQComOut_DePduGrp_BV2_Linien_Nebenspuren 
Diagnostic, Global                       | Rte_IsUpdated        | CtCdEDRPiDriving_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpFREyeQComOut_DePduGrp_BV2_Linien_Ego_Rechts 
LCS                                      | Rte_IRead            | REDRPiDrivingMain_PpPFProvidedData_DeLCSMVHState 
EDR                                      | Rte_IRead            | REDRPiDrivingMain_PpPSD15_DePSD06m2      
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpFRParkControlout_DePduGrp_IPA_02 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpPFHwMeasurements_DeTHS 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpFRACFStateMachineOut_DePduGrp_STP_03 
EDR                                      | Rte_Receive          | CtCdEDRPiDriving_PpDiagBISTQMSSHWrite_DezFAS_Plattform_SSH_eMMC_Register_Readout_0x1019 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpFRParkControlout_DePduGrp_Parkhilfe2_04 
EDR                                      | Rte_IRead            | REDRPiDrivingMain_PpFREyeQComOut_DePduGrp_BV2_SensorHeader 
EDR                                      | Rte_IRead            | REDRPiDrivingMain_PpPSD15_DePSD06m1      
EDR                                      | Rte_IRead            | REDRPiDrivingMain_PpFREyeQComOut_DePduGrp_BV_SensorHeader 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpParkMAStatus_DeLaufzeitModusPACSTP 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpDsParkControlDataSet_DeCustomerCfg_R 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpPSD15_DeMIBSDF201    
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpFRParkControlout_DePduGrp_PLA2_01 
Network, Partial Network                 | Rte_IWriteRef        | REDRPiDrivingMain_PpEcuComRequestsEDR_DePartialNetwork 
EDR                                      | Rte_IWrite           | REDRPiDrivingMain_PpEcuComRequestsEDR_DeRequestsAFSCanRun 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpDsParkControlDataSet_DeIpaCfg_R 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpPSD15_DePSDLR01m0    
LCS                                      | Rte_IRead            | REDRPiDrivingMain_PpPFProvidedData_DeLCSSRHState 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpFREyeQComOut_DePduGrp_BV_SensorHeader 
EDR                                      | Rte_IRead            | REDRPiDrivingMain_PpFRACFout_DePduGrp_EA_01 
LCS                                      | Rte_IRead            | REDRPiDrivingMain_PpPFProvidedData_DeLCSSSHState 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpFREyeQComOut_DePduGrp_BV2_Linien_Ego_Links 
EDR                                      | Rte_Receive          | CtCdEDRPiDriving_PpFencesFR_DeLSObstacleFences 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpPSD15_DePSD06m0      
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpParkMAStatus_DeLaufzeitAnforderungPACPPR 
EDR                                      | Rte_IsUpdated        | CtCdEDRPiDriving_PpDiagCoding_DePermitCodingPersistence 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpACFMAStatus_DeACAHFCameraDetectionLogics 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpFREyeQComOut_DePduGrp_BV2_SensorHeader 
EDR                                      | Rte_IRead            | REDRPiDrivingMain_PpFRUSout_DePduGrp_APS2_02 
EDR                                      | Rte_IRead            | REDRPiDrivingMain_PpCalibFailMV_DeCalibrationMV 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpFREyeQComOut_DePduGrp_BV_Objekt_01 
