Category                                 | RTE type             | Interface                                
------------------------------------     | -----------------    | ------------------------------------   
EDR                                      | Rte_IRead            | REDRPiDrivingMain_PpVersionInformationAPH_DeReleaseLabel 
EDR                                      | Rte_Receive          | CtCdEDRPiDriving_PpLcsEdrNvramStorageSSHTrigger_DeWriteAll 
EDR                                      | Rte_Receive          | CtCdEDRPiDriving_PpOBFObjTVIP_DeTVBVObjCam2 
UDS Diagnostic, Routine Return           | Rte_Send             | CtCdEDRPiDriving_PpDiagEDRPiDrivingWrite_DeEDR_Pilo_Fa_Trigger_0x1018 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpFRUSout_DeUS2        
EDR                                      | Rte_IRead            | REDRPiDrivingMain_PpFRParkMonitorout_DeFRParkMonitorout 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpLanesMV_DeLanes      
SWC Version Info                         | Rte_Call             | CtCdEDRPiDriving_PpPFServer_MW_SetSwcInfo 
EDR                                      | Rte_Receive          | CtCdEDRPiDriving_PpParkControl2EDR_DeParkControl2EDR 
UDS Diagnostic, Routine Call             | Rte_Receive          | CtCdEDRPiDriving_PpDiagEDRPiDrivingRead_DeEDR_Pilo_Fa_Trigger_0x1018 
EDR                                      | Rte_Receive          | CtCdEDRPiDriving_PpFREDRPiDrivingIn_DeFREDRPiDrivingIn 
EDR                                      | Rte_Receive          | CtCdEDRPiDriving_PpEML_DeEML             
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpFRParkMonitorout_DeFRParkMonitorout 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpMBFParkFences_DeObstacleFences 
EDR                                      | Rte_Receive          | CtCdEDRPiDriving_PpRoadProfileEstimationMV_DeRoadProfileEstimation 
EDR                                      | Rte_IRead            | REDRPiDrivingMain_PpFRACFStateMachineOut_DeFRACFStateMachineOut 
UDS Diagnostic, Routine Return           | Rte_Send             | CtCdEDRPiDriving_PpDiagEDRPiDrivingWrite_DeErase_event_data_recorder_0x05F8 
EDR                                      | Rte_IsUpdated        | CtCdEDRPiDriving_PpDiagBISTSRHWrite_DeMesswerte_BISTSRH 
EDR                                      | Rte_Receive          | CtCdEDRPiDriving_PpFencesMV_DeFencesMV   
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpFRACFStateMachineOut_DeFRACFStateMachineOut 
EDR                                      | Rte_IRead            | REDRPiDrivingMain_PpParkGwHMIsmartphone_DeParkGwHMImaneuver 
EDR                                      | Rte_IWrite           | REDRPiDrivingMain_PpLcsEdrNvramStorageSSHStatus_DeWriteAllStatus 
EDR                                      | Rte_Receive          | CtCdEDRPiDriving_PpDM_DeDM               
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpFRACFout_DeFRACFout  
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpParkMAStatus_DeIPAState 
EDR                                      | Rte_Receive          | CtCdEDRPiDriving_PpFencesTVBV_DeTVBVObstacleFences 
EDR                                      | Rte_IRead            | REDRPiDrivingMain_PpOBFOutObjectsACFObs_DeOBFOutObjectsACFObs 
EDR                                      | Rte_IRead            | REDRPiDrivingMain_PpFREyeQComOut_DeSensorHeaderMV 
EDR                                      | Rte_Receive          | CtCdEDRPiDriving_PpFencesUltraSonic_DeUSObstacleFences 
UDS Diagnostic, Routine Return           | Rte_Send             | CtCdEDRPiDriving_PpDiagEDRPiDrivingWrite_DeEDR_refresh_MWBs_0x1017 
EDR                                      | Rte_IRead            | REDRPiDrivingMain_PpMBFParkFences_DeObstacleFences 
EDR                                      | Rte_IRead            | REDRPiDrivingMain_PpVersionInformationAPH_DeSWCVersionInformation 
EDR                                      | Rte_IRead            | REDRPiDrivingMain_PpLanesMV_DeLanes      
EDR                                      | Rte_IRead            | REDRPiDrivingMain_PpTVMasterCameraCalibration_DeTVMasterCameraCalibration 
Diagnostic, Coding                       | Rte_Read             | CtCdEDRPiDriving_PpDiagCoding_DeCoding   
EDR                                      | Rte_IRead            | REDRPiDrivingMain_PpParkMAStatus_DeIPAState 
UDS Diagnostic, Routine Call             | Rte_Receive          | CtCdEDRPiDriving_PpDiagEDRPiDrivingRead_DeEDR_refresh_MWBs_0x1017 
EDR                                      | Rte_IStatus          | REDRPiDrivingMain_PpObjOBFMV_DeOBFObjMVPED 
IF-Set Version                           | Rte_IRead            | REDRPiDrivingMain_PpPFProvidedData_DeIFSETVersion 
EDR                                      | Rte_Read             | CtCdEDRPiDriving_PpDiagBISTAPHWrite_DeMesswerte_BISTAPH 
