Category                                 | RTE type             | Interface                                
------------------------------------     | -----------------    | ------------------------------------   
Persistency, Data read                   | Rte_IsUpdated        | CtCdEyeQCom_PpPdEyeQComRead_DePers_CTAC_ResultMsg_Critical 
RTE Data Exchange                        | Rte_IStatus          | REyeQCom20ms_PpACFMAStatus_DeACAHFCameraDetectionLogics 
Persistency, Data write                  | Rte_Write            | CtCdEyeQCom_PpPdEyeQComWrite_DePers_Internal_Coding_Normal 
IF-Set Version                           | Rte_IRead            | REyeQCom80ms_PpPFProvidedData_DeIFSETVersion 
Persistency, Data write                  | Rte_Write            | CtCdEyeQCom_PpPdEyeQComWrite_DePers_CTAC_InitMsg_Normal 
LCS                                      | Rte_IRead            | REyeQCom80ms_PpPFProvidedData_DeLCSSRHState 
Persistency, Data read                   | Rte_IsUpdated        | CtCdEyeQCom_PpPdEyeQComRead_DePers_Diagnostics_Normal 
LCS                                      | Rte_IStatus          | REyeQCom80ms_PpPFProvidedData_DeLCSSystemState 
RTE Data Exchange                        | Rte_IStatus          | REyeQCom40ms_PpRGExtPSD_DeRGExtPSD       
RTE Data Exchange                        | Rte_IStatus          | REyeQCom20ms_PpFRACFStateMachineOut_DePduGrp_STP_03 
RTE Data Exchange                        | Rte_IsUpdated        | CtCdEyeQCom_PpDiagEyeQComRead_DeFront_camera_target_distance_static_calibration_0x0BB0 
RTE Data Exchange                        | Rte_IsUpdated        | CtCdEyeQCom_PpDiagEyeQComRead_DeFront_camera_calibration_end_of_line_setting_0x0BB1 
Persistency, Data read                   | Rte_IsUpdated        | CtCdEyeQCom_PpPdEyeQComRead_DePers_ApplicationInternal_Critical 
Persistency, DataSet                     | Rte_IStatus          | REyeQCom80ms_PpDsEyeQComDataSet_DePers_Param_AHS 
RTE Data Exchange                        | Rte_IStatus          | REyeQCom80ms_PpPFProvidedData_DeTotalSysRestartCnt 
RTE Data Exchange                        | Rte_Receive          | CtCdEyeQCom_PpACFMAStatus_DeMAACFStatus  
IF-Set Version                           | Rte_IStatus          | REyeQCom80ms_PpPFProvidedData_DeIFSETVersion 
UDS Diagnostic, Anpassung                | Rte_Read             | CtCdEyeQCom_PpDiagEyeQComRead_DeFV_HIL_mode_eyeq_startup_index_0x0505 
Diagnostic, Global                       | Rte_IsUpdated        | CtCdEyeQCom_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA 
RTE Data Exchange                        | Rte_IsUpdated        | CtCdEyeQCom_PpDiagEyeQComRead_DeFront_camera_rotation_compensation_0x0E4D 
RTE Data Exchange                        | Rte_IsUpdated        | CtCdEyeQCom_PpDiagEyeQComRead_DeFV_HIL_mode_eyeq_startup_index_0x0505 
RTE Data Exchange                        | Rte_IStatus          | REyeQCom20ms_PpFRACFStateMachineOut_DeTraceData 
Persistency, Data read                   | Rte_IsUpdated        | CtCdEyeQCom_PpPdEyeQComRead_DePers_Internal_Coding_Normal 
HW Variant Interface                     | Rte_IRead            | REyeQCom80ms_PpPFProvidedData_DeVARHWVariant 
Time Service, Convert ZGT                | Rte_Call             | CtCdEyeQCom_PpPFServer_TS_ConvertZgt2Agt 
RTE Data Exchange                        | Rte_IStatus          | REyeQCom20ms_PpPfTpEyeQCom_DeEyeQComTestPoint 
