Category                                 | RTE type             | Interface                                
------------------------------------     | -----------------    | ------------------------------------   
RTE Data Exchange                        | Rte_IStatus          | RParkControlLogic20ms_PpACFMAStatus_DeACAHFCameraDetectionLogics 
BAP                                      | Rte_Result           | CtCdParkControl_BapPropInit_PDC_Sound_Right_BAP_InitSendBufferByteSequence 
RTE Data Exchange                        | Rte_IStatus          | RParkControlLogic20ms_PpFRACFout_DePduGrp_LDW_02 
RTE Data Exchange                        | Rte_IsUpdated        | CtCdParkControl_PpDiagParkControlRead_DeAcoustic_Warning_Folding_Top_0x091F 
RTE Data Exchange                        | Rte_IStatus          | RParkControlLogic20ms_PpFRACFout_DePduGrp_ZFAS_WZO 
BAP                                      | Rte_Result           | CtCdParkControl_BapPropInit_PDC_CrashWarning_BAP_InitSendBufferByteSequence 
Time Service, AGT                        | Rte_Call             | CtCdParkControl_PpPFServer_TS_GetAgtTimestamp 
BAP                                      | Rte_Call             | CtCdParkControl_BapRequestError_PDC_OPSVisualisation_Position_BAP_RequestError 
HW Variant Interface                     | Rte_IRead            | RParkControlLogic20ms_PpPFProvidedData_DeVARHWVariant 
BAP                                      | Rte_Result           | CtCdParkControl_BapRequestError_PDC_ParkboxList_AWC_BAP_RequestError 
BAP                                      | Rte_Result           | CtCdParkControl_BapRequestError_PDC_WallDetection_BAP_RequestError 
RTE Data Exchange                        | Rte_IsUpdated        | CtCdParkControl_PpDiagParkControlRead_DeIPA_piloted_finish_of_manually_unfinished_park_attempt_0x056C 
BAP                                      | Rte_Call             | CtCdParkControl_BapRequestError_PDC_CrashWarning_BAP_RequestError 
RTE Data Exchange                        | Rte_IsUpdated        | CtCdParkControl_PpDiagParkControlRead_DeDeactivating_of_start_stop_function_0x0928 
BAP                                      | Rte_Call             | CtCdParkControl_BapRequestError_PDC_DefaultParkingmode_BAP_RequestError 
UDS Diagnostic, Anpassung                | Rte_Read             | CtCdParkControl_PpDiagParkControlRead_DeIPA_minimum_speed_limitation_0x0568 
RTE Data Exchange                        | Rte_IStatus          | RParkControlLogic20ms_PpFRACFout_DePduGrp_STP_02 
RTE Data Exchange                        | Rte_IWrite           | RParkControlLogic20ms_PpParkMAStatus_DeLaufzeitModusPACSTP 
BAP                                      | Rte_Call             | CtCdParkControl_BapRequestError_PDC_APA_ManeuverDetails_BAP_RequestError 
RTE Data Exchange                        | Rte_IsUpdated        | CtCdParkControl_PpDiagCoding_DePermitCodingPersistence 
RTE Data Exchange                        | Rte_IRead            | RParkControlLogic20ms_PpHSS_PSSUP_STATUS_DeCH0_LIN_REAR_ShortToVbat_detected 
RTE Data Exchange                        | Rte_IStatus          | RParkControlLogic20ms_PpPerceptionAvailabilityPark_DePerceptionAvailabilityPark 
RTE Data Exchange                        | Rte_IsUpdated        | CtCdParkControl_PpDiagParkControlRead_DeFS_curb_lifter_profile_0x0516 
RTE Data Exchange                        | Rte_Read             | CtCdParkControl_PpDiagCoding_DePermitCodingPersistence 
Network, FlexRay Run                     | Rte_IWriteRef        | RParkControlLogic20ms_PpEcuComRequestsPark_DeRequestsFlexRayRun 
RTE Data Exchange                        | Rte_Send             | CtCdParkControl_PpParkControl2DSC_DeParkControl2DSC 
RTE Data Exchange                        | Rte_IRead            | RParkControlLogic20ms_PpFRACFout_DePduGrp_STP_02 
RTE Data Exchange                        | Rte_IsUpdated        | CtCdParkControl_PpDiagParkControlRead_DeDebounce_Time_Reverse_Gear_Detection_0x2500 
RTE Data Exchange                        | Rte_IRead            | RParkControlLogic20ms_PpFRACFout_DePduGrp_USS_01 
RTE Data Exchange                        | Rte_IWrite           | RParkControlLogic20ms_PpEcuComRequestsPark_DeRequestsECURun 
RTE Data Exchange                        | Rte_IRead            | RParkControlLogic20ms_PpHSS_PSSUP_STATUS_DeCH0_LIN_REAR_deactivated 
RTE Data Exchange                        | Rte_Read             | CtCdParkControl_PpPdParkProcessingRead_DeDynamicData_Ppr_RW_Normal 
BAP                                      | Rte_Call             | CtCdParkControl_BapRequestPropFSG_PDC_APA_ManeuverDetails_Status_BAP_RequestByteSequence 
RTE Data Exchange                        | Rte_IRead            | RParkControlLogic20ms_PpFRACFout_DeTraceData 
BAP                                      | Rte_Result           | CtCdParkControl_BapRequestPropFSG_PDC_Sound_Right_Status_BAP_RequestByteSequence 
BAP                                      | Rte_Result           | CtCdParkControl_BapRequestFSG_PDC_PLA_MapList_Status_BAP_RequestByteSequence 
Diagnostic, Global                       | Rte_IsUpdated        | CtCdParkControl_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA 
BAP                                      | Rte_Result           | CtCdParkControl_BapPropInit_PDC_OPSVisualisation_Position_BAP_InitSendBufferByteSequence 
RTE Data Exchange                        | Rte_IStatus          | RParkControlLogic20ms_PpFRACFout_DeTraceData 
BAP                                      | Rte_Call             | CtCdParkControl_BapPropInit_PDC_Sound_Right_BAP_InitSendBufferByteSequence 
RTE Data Exchange                        | Rte_IStatus          | RParkControlLogic20ms_PpHSS_PSSUP_STATUS_DeCH0_LIN_REAR_ShortToVbat_detected 
BAP                                      | Rte_Call             | CtCdParkControl_BapRequestPropFSG_PDC_CrashWarning_Status_BAP_RequestByteSequence 
LCS                                      | Rte_IRead            | RParkControlLogic20ms_PpPFProvidedData_DeLCSAPHState 
BAP                                      | Rte_Call             | CtCdParkControl_BapPropInit_PDC_FlankGuard_BAP_InitSendBufferByteSequence 
