Category                                 |   % used     |        nr of used IF  /    number of available IF   
------------------------------------     | ------------ | --------------------------------------------------  
UDS Diagnostic, Anpassung                |  70.00% used |   28 interfaces used  /   40 interfaces available 
UDS Diagnostic, Messwerte                | 100.00% used |    1 interfaces used  /    1 interfaces available 
UDS Diagnostic, Stellglied Call          | 100.00% used |    3 interfaces used  /    3 interfaces available 
UDS Diagnostic, Stellglied Return        | 100.00% used |    3 interfaces used  /    3 interfaces available 
UDS Diagnostic, Routine Call             | 100.00% used |    3 interfaces used  /    3 interfaces available 
UDS Diagnostic, Routine Return           | 100.00% used |    3 interfaces used  /    3 interfaces available 
Diagnostic, Coding                       | 100.00% used |    2 interfaces used  /    2 interfaces available 
Diagnostic, Set DTC Event                | 100.00% used |    1 interfaces used  /    1 interfaces available 
Diagnostic, Get DTC Event                | 100.00% used |    1 interfaces used  /    1 interfaces available 
Diagnostic, DTC clear                    | 100.00% used |    1 interfaces used  /    1 interfaces available 
Diagnostic, Global                       |  33.00% used |    2 interfaces used  /    6 interfaces available 
Persistency, Big Data                    |         n/a  |    0 interfaces used  /    0 interfaces available 
Persistency, DataSet                     |  80.00% used |   16 interfaces used  /   20 interfaces available 
Persistency, APH status                  |         n/a  |    0 interfaces used  /    0 interfaces available 
Persistency, SSH status                  |         n/a  |    0 interfaces used  /    0 interfaces available 
Persistency, SRH status                  |         n/a  |    0 interfaces used  /    0 interfaces available 
Persistency, Data read                   |  75.00% used |    6 interfaces used  /    8 interfaces available 
Persistency, Data write                  | 100.00% used |    4 interfaces used  /    4 interfaces available 
Network, Partial Network                 | 100.00% used |    1 interfaces used  /    1 interfaces available 
Network, ECU Run                         |         n/a  |    0 interfaces used  /    0 interfaces available 
Network, FlexRay Run                     |   0.00% used |    0 interfaces used  /    2 interfaces available 
Network, Wake Up                         |         n/a  |    0 interfaces used  /    0 interfaces available 
Network, PDU group interface             | 100.00% used |    8 interfaces used  /    8 interfaces available 
Time Service, Timestamp                  | 100.00% used |    1 interfaces used  /    1 interfaces available 
Time Service, Remaining Time Budget      | 100.00% used |    1 interfaces used  /    1 interfaces available 
Time Service, AGT                        |   0.00% used |    0 interfaces used  /    1 interfaces available 
Time Service, Convert ZGT                |   0.00% used |    0 interfaces used  /    1 interfaces available 
Time Service, Convert AGT                |   0.00% used |    0 interfaces used  /    1 interfaces available 
SWC Version Info                         | 100.00% used |    1 interfaces used  /    1 interfaces available 
LCS                                      |  10.00% used |    1 interfaces used  /   10 interfaces available 
HW Variant Interface                     |   0.00% used |    0 interfaces used  /    2 interfaces available 
IF-Set Version                           |   0.00% used |    0 interfaces used  /    2 interfaces available 
BAP                                      |  72.00% used |  208 interfaces used  /  285 interfaces available 
EDR                                      | 100.00% used |    3 interfaces used  /    3 interfaces available 
RTE Data Exchange                        |  27.00% used |   45 interfaces used  /  161 interfaces available 
------------------------------------     | ------------ | --------------------------------------------------  
TOTAL                                    |  59.00% used |  343 interfaces used  /  576 interfaces available 
