Category                                 | RTE type             | Interface                                
------------------------------------     | -----------------    | ------------------------------------   
RTE Data Exchange                        | Rte_IStatus          | RTVImageCntrl_PpDsTVMasterDataSet_DeCalibOlmcConfigParams 
LCS                                      | Rte_IStatus          | RTVImageCntrl_PpPFProvidedData_DeLCSSRHState 
LCS                                      | Rte_IRead            | RTVImageCntrl_PpPFProvidedData_DeLCSSSHState 
Persistency, Data read                   | Rte_Read             | CtCdTVIC_PpPdTVICRead_DeCameraDeviceInfoBack_Normal 
Persistency, Data read                   | Rte_Read             | CtCdTVIC_PpPdTVICRead_DeIntrinsicsFront_Normal 
RTE Data Exchange                        | Rte_IStatus          | RTVImageCntrl_PpDsTVMasterDataSet_DeExtrinsicsCadFront 
RTE Data Exchange                        | Rte_IRead            | RTVImageCntrl_PpDsTVMasterDataSet_DeExtrinsicsCadBack 
Persistency, Data write                  | Rte_Write            | CtCdTVIC_PpPdTVICWrite_DeCameraDeviceInfoFront_Normal 
Diagnostic, Coding                       | Rte_Read             | CtCdTVIC_PpDiagCoding_DeCoding           
Persistency, Data read                   | Rte_IsUpdated        | CtCdTVIC_PpPdTVICRead_DeApplicationParamsTVICRW_Normal 
Persistency, Data write                  | Rte_Write            | CtCdTVIC_PpPdTVICWrite_DeFreezeFrameTvIC_Critical 
RTE Data Exchange                        | Rte_IRead            | RTVImageCntrl_PpDsTVMasterDataSet_DeViewParamsDefault 
LCS                                      | Rte_IStatus          | RTVImageCntrl_PpPFProvidedData_DeLCSAPHState 
Persistency, Data read                   | Rte_Read             | CtCdTVIC_PpPdTVICRead_DeFreezeFrameTvIC_Critical 
RTE Data Exchange                        | Rte_IWrite           | RTVImageCntrl_PpTVCameraRequest_DeTVCameraRequest 
Time Service, Convert ZGT                | Rte_Call             | CtCdTVIC_PpPFServer_TS_ConvertZgt2Agt    
LCS                                      | Rte_IRead            | RTVImageCntrl_PpPFProvidedData_DeLCSAPHState 
Diagnostic, Coding                       | Rte_IsUpdated        | CtCdTVIC_PpDiagCoding_DeCoding           
RTE Data Exchange                        | Rte_IStatus          | RTVImageCntrl_PpDsTVMasterDataSet_DeBlindnessParamsDefault 
Persistency, Data write                  | Rte_Write            | CtCdTVIC_PpPdTVICWrite_DeCameraDeviceInfoBack_Normal 
RTE Data Exchange                        | Rte_IStatus          | RTVImageCntrl_PpCAM_VCC_Supervision_DeTVxISENSE 
Persistency, Data write                  | Rte_Write            | CtCdTVIC_PpPdTVICWrite_DeApplicationParamsTVICRW_Normal 
RTE Data Exchange                        | Rte_IStatus          | RTVImageCntrl_PpPFProvidedData_DeCurConsecutiveSysRestartCnt 
RTE Data Exchange                        | Rte_IStatus          | RTVImageCntrl_PpDsTVMasterDataSet_DeBlindnessParamsRight 
HW Variant Interface                     | Rte_IRead            | RTVImageCntrl_PpPFProvidedData_DeVARHWVariant 
RTE Data Exchange                        | Rte_IRead            | RTVImageCntrl_PpDsTVMasterDataSet_DeSuspensionAtCad 
Persistency, Data read                   | Rte_IsUpdated        | CtCdTVIC_PpPdTVICRead_DeIntrinsicsBack_Normal 
RTE Data Exchange                        | Rte_IStatus          | RTVImageCntrl_PpPFHwMeasurements_DeVBAT_MAIN 
Persistency, DataSet                     | Rte_IRead            | RTVImageCntrl_PpDsTVICDataSet_DeIspParamsDefault 
Diagnostic, Global                       | Rte_Read             | CtCdTVIC_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB 
Persistency, Data write                  | Rte_Write            | CtCdTVIC_PpPdTVICWrite_DeIntrinsicsRight_Normal 
RTE Data Exchange                        | Rte_IStatus          | RTVImageCntrl_PpTVCntrlTVMaster_DeTVCleaningStatus 
RTE Data Exchange                        | Rte_IRead            | RTVImageCntrl_PpCAM_VCC_Supervision_DeSYS_9V 
RTE Data Exchange                        | Rte_IStatus          | RTVImageCntrl_PpDsTVMasterDataSet_DeExtrinsicsCadLeft 
RTE Data Exchange                        | Rte_IStatus          | RTVImageCntrl_PpDsTVMasterDataSet_DeApplicationParamsTVMASTERDS 
Persistency, Data read                   | Rte_IsUpdated        | CtCdTVIC_PpPdTVICRead_DeIntrinsicsRight_Normal 
Persistency, Data read                   | Rte_Read             | CtCdTVIC_PpPdTVICRead_DeCameraDeviceInfoFront_Normal 
RTE Data Exchange                        | Rte_IWrite           | RTVImageCntrl_PpTVImageCntrlTVMaster_DeCameraPparFromCam 
LCS                                      | Rte_IStatus          | RTVImageCntrl_PpPFProvidedData_DeLCSMVHState 
Persistency, Data read                   | Rte_IsUpdated        | CtCdTVIC_PpPdTVICRead_DeIspParams_Normal 
RTE Data Exchange                        | Rte_IStatus          | RTVImageCntrl_PpDsTVMasterDataSet_DeVehicleMeasurements 
RTE Data Exchange                        | Rte_IRead            | RTVImageCntrl_PpPFProvidedData_DeCurConsecutiveSysRestartCnt 
Persistency, Data read                   | Rte_Read             | CtCdTVIC_PpPdTVICRead_DeIntrinsicsBack_Normal 
Persistency, Data read                   | Rte_Read             | CtCdTVIC_PpPdTVICRead_DeIntrinsicsRight_Normal 
RTE Data Exchange                        | Rte_IStatus          | RTVImageCntrl_PpDsTVMasterDataSet_DeFavoriteListDefault 
RTE Data Exchange                        | Rte_IRead            | RTVImageCntrl_PpDsTVMasterDataSet_DeExtrinsicsCadRight 
Time Service, Remaining Time Budget      | Rte_Call             | CtCdTVIC_PpPFServer_TS_GetRemainingTimeBudget 
