# CtCdUltraSonicProcessing
# E:\zFAS-Jenkins\workspace\zFAS_AIT_Master_AAT\_ait\SW\0900_System\02_interfaces\CtCdUltraSonicProcessing\ContractHeader\Rte_CtCdUltraSonicProcessing.h
# Generated at: Tue Sep 10 2019 17:16
Rte_Receive_CtCdUltraSonicProcessing_PpDiagGlobalRead_DeFSPCleared|Dt_BOOL
Rte_Receive_CtCdUltraSonicProcessing_PpEML_DeEML|Dt_RECORD_EML
Rte_Read_CtCdUltraSonicProcessing_PpDiagCoding_DeCoding|Dt_RECORD_Diag_Coding
Rte_IsUpdated_CtCdUltraSonicProcessing_PpDiagCoding_DeCoding|void
Rte_Read_CtCdUltraSonicProcessing_PpDiagCoding_DePermitCodingPersistence|Dt_ENUM_PermitCodingPersistence
Rte_IsUpdated_CtCdUltraSonicProcessing_PpDiagCoding_DePermitCodingPersistence|void
Rte_Read_CtCdUltraSonicProcessing_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA|Dt_RECORD_Anpassung_Deactivate_hardware_in_the_loop_mode_0x0BEA
Rte_IsUpdated_CtCdUltraSonicProcessing_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA|void
Rte_Read_CtCdUltraSonicProcessing_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500|Dt_RECORD_Anpassung_Platform_zFAS_hil_mode_0x0500
Rte_IsUpdated_CtCdUltraSonicProcessing_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500|void
Rte_Read_CtCdUltraSonicProcessing_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB|Dt_RECORD_Anpassung_Roller_Test_Stand_Mode_0x04FB
Rte_IsUpdated_CtCdUltraSonicProcessing_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB|void
Rte_Read_CtCdUltraSonicProcessing_PpDiagUltraSonicProcessingRead_DeIPA_new_functions_0x056A|Dt_RECORD_Anpassung_IPA_new_functions_0x056A
Rte_IsUpdated_CtCdUltraSonicProcessing_PpDiagUltraSonicProcessingRead_DeIPA_new_functions_0x056A|void
